# Capital Cities Sightseeing Planner (Metro Subway Stations Included)

| Capital city | Country | Attraction | Type | Nearest metro/subway/tube station | Line(s) (if applicable) | Typical visit time | Notes |
|---|---|---|---|---|---|---|---|
| London | United Kingdom | British Museum | Museum | Tottenham Court Road | Central, Northern, Elizabeth | 2–3 h | Often busy; timed entry sometimes used |
| London | United Kingdom | Tower of London | Historic site | Tower Hill | District, Circle | 2–4 h | Allow extra time for Crown Jewels queue |
| Paris | France | Louvre Museum | Museum | Palais Royal – Musée du Louvre | Line 1, 7 | 3–4 h | Consider booking a timed ticket |
| Paris | France | Eiffel Tower | Landmark | Bir-Hakeim | Line 6 | 2–3 h | Best at sunset; book summit slots early |
| Madrid | Spain | Prado Museum | Museum | Banco de España | Line 2 | 2–3 h | Pair with nearby Retiro Park |
| Madrid | Spain | Royal Palace of Madrid | Palace | Ópera | Line 2, 5 | 2–3 h | Arrive early for shorter entry lines |
| Berlin | Germany | Brandenburg Gate | Landmark | Brandenburger Tor | S-Bahn S1/S2/S25/S26; U55 (short) | 0.5–1 h | Easy walk to Reichstag |
| Berlin | Germany | Museum Island | Museum district | Museumsinsel | U5 | 2–5 h | Choose 1–2 museums to avoid overload |
| Rome | Italy | Colosseum | Ancient monument | Colosseo | Line B | 2–3 h | Combined tickets often include Forum |
| Rome | Italy | Vatican Museums | Museum | Ottaviano | Line A | 3–4 h | Early morning slots reduce crowding |
| Vienna | Austria | Schönbrunn Palace | Palace | Schönbrunn | U4 | 3–5 h | Palace + gardens; plan extra time |
| Vienna | Austria | St. Stephen's Cathedral | Cathedral | Stephansplatz | U1, U3 | 1–2 h | Tower climb adds time |
| Prague | Czechia | Charles Bridge | Landmark | Staroměstská | Metro A | 0.5–1.5 h | Best early morning for photos |
| Prague | Czechia | Prague Castle | Castle complex | Malostranská | Metro A | 2–4 h | Trams also serve nearby stops |
| Stockholm | Sweden | Vasa Museum | Museum | Karlaplan | Metro Red line (T13) | 1.5–2.5 h | Short walk/bus connection from station |
| Stockholm | Sweden | Gamla Stan (Old Town) | Historic district | Gamla stan | Metro Red/Green | 1–3 h | Compact; easy to pair with Royal Palace |
