# Pro Wrestling Career Summary — Categories and Achievements (No Date Ranges)

| Wrestler | Era | Style Category | Signature Feud | Major Title | Title Reign Marker | Hall of Fame |
| --- | --- | --- | --- | --- | --- | --- |
| Bret Hart | 1990s | Technical | vs. Shawn Michaels | WWF Championship | 1992 | WWE HOF |
| Shawn Michaels | 1990s–2000s | Showman | vs. Bret Hart | WWF Championship | 1996 | WWE HOF |
| Stone Cold Steve Austin | 1990s | Brawler | vs. Vince McMahon | WWF Championship | 1998 | WWE HOF |
| The Rock | 1990s–2000s | Charisma/Power | vs. Steve Austin | WWF Championship | 2000 | WWE HOF |
| Kurt Angle | 2000s | Olympic/Technical | vs. Brock Lesnar | WWE Championship | 2001 | WWE HOF |
| Eddie Guerrero | 2000s | Technical/Lucha | vs. Brock Lesnar | WWE Championship | 2004 | WWE HOF |
| Trish Stratus | 2000s | Striker | vs. Lita | WWE Women's Championship | 2001 | WWE HOF |
| Lita | 2000s | High-flyer | vs. Trish Stratus | WWE Women's Championship | 2006 | WWE HOF |
| Batista | 2000s | Powerhouse | vs. Triple H | World Heavyweight Championship | 2005 | — |
| Randy Savage | 1980s–1990s | Showman | vs. Hulk Hogan | WWF Championship | 1988 | WWE HOF |
| Hulk Hogan | 1980s–1990s | Powerhouse | vs. Andre the Giant | WWF Championship | 1984 | WWE HOF |
