# Electric Guitar Song Titles Featuring 'Ibanez' (Track Listing)

| Track No. | Song Title | Artist | Release Type | Year | Duration |
|---:|---|---|---|---:|---|
| 1 | "My Ibanez" | The Practice Room | Single | 2016 | 3:12 |
| 2 | "Ibanez Nights" | Neon Pickups | EP | 2019 | 4:01 |
| 3 | "RG on Fire" | Palm Mute City | Album | 2020 | 2:58 |
| 4 | "Seven Strings" | Drop Tune Union | Album | 2018 | 3:44 |
| 5 | "JEM Dreams" | Chorus Brigade | Single | 2017 | 3:29 |
| 6 | "S-Series Breeze" | Clean Channel | EP | 2021 | 4:15 |
| 7 | "Wizard Neck" | Metronome Metal | Album | 2022 | 3:36 |
| 8 | "Edge Tremolo" | Dive Bomb Kids | Single | 2015 | 2:49 |
| 9 | "Artcore Afterhours" | Late Night Trio | Album | 2014 | 5:08 |
