# Football Clubs and the Cities They Represent (Selected European Clubs)

| Country | City / Area | Club | Stadium (Home Ground) |
|---|---|---|---|
| England | Manchester | Manchester City | Etihad Stadium |
| England | Manchester | Manchester United | Old Trafford |
| England | Liverpool | Liverpool | Anfield |
| England | Liverpool | Everton | Goodison Park |
| England | London | Arsenal | Emirates Stadium |
| England | London | Chelsea | Stamford Bridge |
| Spain | Madrid | Real Madrid | Santiago Bernabéu |
| Spain | Madrid | Atlético Madrid | Civitas Metropolitano |
| Italy | Milan | AC Milan | San Siro |
| Italy | Milan | Inter Milan | San Siro |
| Germany | Munich | Bayern Munich | Allianz Arena |
| France | Paris | Paris Saint-Germain | Parc des Princes |
