# USA Olympic Swimming Gold Medal Winners — Multi-Olympics Summary (No 2008 Event Mapping)

| Athlete | Country | Sport | Gold Medals (Total) | Olympics with Gold (Years) | Notes |
|---|---|---|---:|---|---|
| Michael Phelps | United States | Swimming | 23 | 2004, 2008, 2012, 2016 | Multiple events across Games |
| Ryan Lochte | United States | Swimming | 6 | 2004, 2008, 2012 | Includes relays |
| Natalie Coughlin | United States | Swimming | 1 | 2008 | Gold(s) not itemized |
| Dara Torres | United States | Swimming | 0 | — | Medals include silver/bronze |
| Amanda Beard | United States | Swimming | 2 | 1996, 2004 | Not tied to event list |
| Gary Hall Jr. | United States | Swimming | 5 | 1996, 2000, 2004 | Sprint-focused |
| Jenny Thompson | United States | Swimming | 8 | 1992, 1996, 2000, 2004 | Relay-heavy |
| Misty Hyman | United States | Swimming | 1 | 2000 | Butterfly specialist |
| Lenny Krayzelburg | United States | Swimming | 4 | 2000, 2004 | Backstroke |
| Brooke Bennett | United States | Swimming | 2 | 1996 | Distance freestyle |
| Anthony Ervin | United States | Swimming | 2 | 2000, 2016 | 50m freestyle |
