# Nearest-Neighbor Constellation Adjacency Pairs (IAU Sky Regions)

| Constellation (reference) | Nearest / Closest constellation | Relationship basis | Shared border? | Example border segment / notes |
|---|---|---|---|---|
| Orion | Taurus | Closest-neighbor (adjacent) | Yes | Taurus touches Orion near the region around Orion’s northern boundary |
| Orion | Gemini | Closest-neighbor (adjacent) | Yes | Gemini borders Orion toward Orion’s northeast |
| Taurus | Auriga | Closest-neighbor (adjacent) | Yes | Auriga lies immediately north of Taurus |
| Scorpius | Libra | Closest-neighbor (adjacent) | Yes | Libra borders Scorpius on the western side |
| Scorpius | Sagittarius | Closest-neighbor (adjacent) | Yes | Sagittarius borders Scorpius to the east/southeast |
| Ursa Major | Draco | Closest-neighbor (adjacent) | Yes | Draco wraps between Ursa Major and Ursa Minor |
| Ursa Minor | Draco | Closest-neighbor (adjacent) | Yes | Draco directly touches Ursa Minor along Ursa Minor’s outer edge |
| Cygnus | Lyra | Closest-neighbor (adjacent) | Yes | Lyra sits just southwest of Cygnus |
| Leo | Virgo | Closest-neighbor (adjacent) | Yes | Virgo is directly adjacent to Leo toward the east |
| Cassiopeia | Cepheus | Closest-neighbor (adjacent) | Yes | Cepheus borders Cassiopeia to the north |
| Pegasus | Andromeda | Closest-neighbor (adjacent) | Yes | Andromeda touches Pegasus along the Great Square area |
| Aquila | Sagittarius | Closest-neighbor (adjacent) | Yes | Aquila meets Sagittarius along the Milky Way region |
