# Common Hereditary Predisposition Concerns by Dog Breed (Comparison Table)

| Breed | Category | Common Predisposition/Concern | Body System | Typical Onset | Practical Recognition/Notes |
|---|---|---|---|---|---|
| Cavalier King Charles Spaniel | Toy | Mitral valve disease | Cardiac | Adult | Heart murmur common; monitor exercise tolerance |
| Dachshund | Small | Intervertebral disc disease (IVDD) | Neurologic/Spine | Adult | Long back; avoid jumping; watch for back pain |
| German Shepherd Dog | Large | Hip dysplasia | Orthopedic | Young-Adult | Bunny-hopping gait; stiffness after rest |
| Labrador Retriever | Large | Obesity tendency | Metabolic | Any | Food-motivated; weight control important |
| Golden Retriever | Large | Hemangiosarcoma risk | Oncology | Middle-Older | Sudden weakness/collapse may be a warning sign |
| Boxer | Medium-Large | Arrhythmogenic cardiomyopathy | Cardiac | Adult | Fainting episodes during exertion possible |
| Bulldog (English) | Medium | Brachycephalic airway syndrome | Respiratory | Young-Adult | Noisy breathing; heat intolerance |
| Great Dane | Giant | Gastric dilatation-volvulus (bloat) | Gastrointestinal | Adult | Deep chest; emergency if retching without vomit |
| Siberian Husky | Medium | Progressive retinal atrophy (PRA) | Ophthalmic | Adult | Night vision issues; eye exams recommended |
| Pug | Toy | Corneal ulcers | Ophthalmic | Any | Prominent eyes; squinting/tearing signals irritation |
| Rottweiler | Large | Osteosarcoma risk | Oncology/Orthopedic | Middle-Older | Lameness/swelling in long bones warrants check |
| Border Collie | Medium | Collie eye anomaly (CEA) | Ophthalmic | Young | Genetic screening used in some lines |
