# World Currencies Popularity Ranking (Search Interest & Trading Share)

| Rank | Currency | Common Symbol | Top Countries Using It | Estimated Daily FX Turnover Share | 5-Year Trend |
| ---: | --- | --- | --- | ---: | --- |
| 1 | US dollar | $ | United States, Ecuador, El Salvador | 44.2% | Up |
| 2 | Euro | € | Germany, France, Italy | 15.8% | Flat |
| 3 | Japanese yen | ¥ | Japan | 8.3% | Down |
| 4 | Pound sterling | £ | United Kingdom | 6.4% | Flat |
| 5 | Australian dollar | A$ | Australia | 6.0% | Up |
| 6 | Canadian dollar | C$ | Canada | 5.0% | Flat |
| 7 | Swiss franc | CHF | Switzerland, Liechtenstein | 4.9% | Up |
| 8 | Chinese yuan | ¥/CN¥ | China | 4.5% | Up |
| 9 | Swedish krona | kr | Sweden | 2.2% | Down |
| 10 | New Zealand dollar | NZ$ | New Zealand | 2.1% | Flat |
