# Country-to-Capital Mapping List (Americas & Oceania)

| Region | Country | Capital |
|---|---|---|
| North America | Canada | Ottawa |
| North America | Mexico | Mexico City |
| Central America | Guatemala | Guatemala City |
| Caribbean | Jamaica | Kingston |
| South America | Brazil | Brasília |
| South America | Argentina | Buenos Aires |
| South America | Chile | Santiago |
| Oceania | Australia | Canberra |
| Oceania | New Zealand | Wellington |
| Oceania | Fiji | Suva |
| Oceania | Papua New Guinea | Port Moresby |
| Oceania | Samoa | Apia |
