# Hormone Biosynthesis Overview  Key Enzymes, Genes, and Steps

| Hormone | Precursor/Substrate | Key Enzyme(s) | Gene Symbol(s) | Primary Tissue | Notes |
| --- | --- | --- | --- | --- | --- |
| Cortisol | 17-hydroxyprogesterone | 21-hydroxylase; 11β-hydroxylase | CYP21A2; CYP11B1 | Adrenal cortex (zona fasciculata) | Enzyme deficiencies linked to CAH |
| Aldosterone | 11-deoxycorticosterone | Aldosterone synthase | CYP11B2 | Adrenal cortex (zona glomerulosa) | Regulated by angiotensin II & K+ |
| Testosterone | Androstenedione | 17β-hydroxysteroid dehydrogenase | HSD17B3 | Testes (Leydig cells) | Converted to DHT via SRD5A2 |
| Estradiol (E2) | Testosterone | Aromatase | CYP19A1 | Ovaries; adipose | Aromatization step emphasized |
| Thyroxine (T4) | Iodinated thyroglobulin | Thyroid peroxidase | TPO | Thyroid follicular cells | Requires iodine; Tg as scaffold |
| Triiodothyronine (T3) | T4 | Iodothyronine deiodinase | DIO1; DIO2 | Liver; brain | Peripheral activation of T4 |
| Epinephrine | Norepinephrine | Phenylethanolamine N-methyltransferase | PNMT | Adrenal medulla | Cortisol induces PNMT expression |
| Melatonin | Serotonin | AANAT; ASMT | AANAT; ASMT | Pineal gland | Light/dark regulation via SCN |
| Insulin | Proinsulin | Prohormone convertases | PCSK1; PCSK2 | Pancreatic β-cells | Processing and granule packaging |
| Vasopressin (ADH) | Prepro-vasopressin | Signal peptidase; processing enzymes | AVP | Hypothalamus/posterior pituitary | Focus on processing not actions |
