# Solar Photosphere Composition (Mass Fraction) Including Major Molecules and Dust Species

| Component type | Species / Item | Formula / Symbol | Approx. mass fraction (%) | Notes |
|---|---|---|---:|---|
| Gas (element) | Hydrogen | H | 73.5 | Dominant by mass |
| Gas (element) | Helium | He | 24.9 | Second most abundant |
| Molecule | Water vapor | H2O | 0.05 | Trace molecular contribution in cooler regions |
| Molecule | Carbon monoxide | CO | 0.03 | Forms in photospheric chemistry |
| Molecule | Molecular hydrogen | H2 | 0.02 | Present in cooler layers/sunspots |
| Solid/condensate | Silicate dust (generic) | MgSiO3 | 0.01 | Hypothetical condensate species |
| Solid/condensate | Iron grains (generic) | Fe(s) | 0.01 | Condensation product in models |
| Ion | Proton (hydrogen ion) | H+ | 1.0 | Listed as separate “ingredient” |
| Ion | Alpha particle (helium nucleus) | He2+ | 0.5 | Listed as separate “ingredient” |
| Mixture | Metals (all elements heavier than He) | Z | 1.6 | Lumped category |
