# Stocks - Hot Stocks | Hot Stocks Losers

| Sym | CATC | MRIC | MBCQ | ACLZ | FMCC | FNMA | FDNB | ENCRD | SVON | HECC | CALVF | CMRL | FMCKK | DCBF | CSBB | COCP | FMCCG | VEND | CRVW | FMCCM | SIAF | NWMH | VOIL | SUGR | GLFH | EKSO | PATD | SNNY | FMCKP | NUGN | NCBS | NSBC | FMCCT | SNGX | ENZB | FMCKM | FNMAM | FMCKI | JUVF | FNMAP | FMCKL | FNMAT | FMCCN | HLAN | PSBQ | MDNB | CURM | FMCKO | FMCKN | HMTVW | WIZD | FNMAI | FNMAS | FETM | FMAO | FNMAL | ARTH | NUUU | STOY | FNMAJ | PUGB | SCIO | NWIN | FMCKJ | SITOD | FNMAH | CWBB |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Name | Cambridge Bancorp | Mri Interventions | MB Bancorp Inc | Accelerize New Media | Freddie Mac | Fannie Mae | Foundation Bancorp | Ener Core Inc | Sevion Therapeutics | Hydrocarb Energy Corporation | Caledonia Mining Cp | CME Rlty Inc | Fed Home Ln Mtg 5.0 | Dcb Financial Corp | C S B Bancorp Ohio | Cocrystal Pharma Inc. | Freddie Mac Var Pfd | Fresh Healthy Vending International Inc. | Careview Comm Inc | Freddie Mac Noncum | Sino Agro Food Inc | National Waste Mgmt Hldgs Inc | Virtus Oil and Gas | Sugar Creek Fin Corp | Galenfeha | Ekso Bionics Holding | Patapsco Bancorp Inc | Sunnyside Bancorp | Freddie Mac 5.7 Pfd | Nugene International Inc. | Nicolet | North State Bncorp | Federal Home Loan Mortgage Corporation. | Soligenix Inc. | Enzymebiosystems | Federal Home Ln Mtg | Fannie Mae 5.81 H | Federal Home Loan Mortgage Corporation. | Juniata Valley Finl | Fannie Mae Pfd F | Freddie Mac 6.02 Pfd | Federal Natl Pfd T | Freddie Mac Var N | Heartland Banccorp | Psb Hldgs Inc [Wi] | Minden Bancorp Inc | Cur Media Inc. | Fed Home Ln Mtg | Federal Home Ln Mtg | Hemisphere Media | Wizard Wrold Inc | Fed Ntl Mtg Ser Q | Fannie Mae Pfd S | Fentura Finl Inc | Farmers & Merch Banc | Fed Natl Mtg Pfd M | Arch Therapeutics Inc. | Tech Application | Spiral Toys Inc. | Fannie Mae Pfd R | Puget Sound Bank | Scio Diamond Tech Cp | Northwest Indiana Bancorp | Freddie Mac Pfd Z | Sito Mobile Ltd. | Federal Natl Mtg Pfd | Commonwealth Business Bank (Ca) |
| Std Dev | -2.15 | -1.59 | -1.57 | -1.48 | -1.42 | -1.40 | -1.20 | -0.93 | -0.81 | -0.65 | -0.49 | -0.46 | -0.41 | -0.39 | -0.34 | -0.33 | -0.22 | -0.20 | -0.19 | -0.12 | -0.05 | unch | unch | unch | unch | unch | unch | unch | +0.06 | +0.09 | +0.14 | +0.27 | +0.30 | +0.31 | +0.34 | +0.36 | +0.39 | +0.39 | +0.42 | +0.46 | +0.48 | +0.54 | +0.66 | +0.73 | +0.76 | +0.78 | +0.79 | +0.87 | +1.02 | +1.04 | +1.05 | +1.06 | +1.12 | +1.14 | +1.17 | +1.21 | +1.31 | +1.49 | +1.54 | +1.56 | +1.66 | +1.91 | +1.98 | +2.08 | +2.13 | +2.18 | +4.11 |
| Last | 46.0000 | 0.9349 | 12.0000 | 1.4600 | 2.2500 | 2.3500 | 9.0300 | 3.2500 | 0.7001 | 1.2500 | 0.5616 | 0.4200 | 7.0000 | 7.0300 | 25.1000 | 0.9099 | 6.2000 | 0.4550 | 0.3600 | 5.8500 | 13.2700 | 1.6500 | 0.4000 | 10.1000 | 0.2600 | 1.0300 | 4.8100 | 10.3500 | 7.1500 | 3.1100 | 33.7500 | 9.1800 | 7.5000 | 1.6300 | 2.0000 | 4.0500 | 7.6100 | 4.3000 | 18.0000 | 8.2500 | 4.1700 | 6.9600 | 6.0500 | 46.4700 | 44.7500 | 22.0000 | 0.7100 | 4.0000 | 4.7000 | 1.4400 | 0.3850 | 4.4800 | 4.9000 | 14.0000 | 27.2500 | 7.8500 | 0.3695 | 0.7700 | 0.7201 | 4.4300 | 17.2500 | 0.9900 | 27.3000 | 5.0000 | 4.1000 | 4.0900 | 11.6500 |
| Change | -0.9900 | -0.0362 | -0.6600 | -0.0900 | -0.1000 | -0.1050 | -0.4700 | -0.2500 | -0.0399 | -0.0500 | -0.0094 | -0.0200 | -0.1900 | -0.0200 | -0.1500 | -0.0101 | -0.0500 | -0.0050 | -0.0040 | -0.0500 | -0.0300 | unch | unch | unch | unch | unch | unch | unch | +0.0100 | +0.0200 | +0.0500 | +0.0200 | +0.0900 | +0.0300 | +0.1000 | +0.0500 | +0.2500 | +0.0600 | +0.1000 | +0.2000 | +0.0800 | +0.0600 | +0.2500 | +0.9600 | +0.9500 | +0.9500 | +0.0300 | +0.1500 | +0.1900 | +0.0700 | +0.0460 | +0.2200 | +0.1500 | +0.2000 | +0.5000 | +0.3500 | +0.0296 | +0.0700 | +0.0500 | +0.2200 | +0.5000 | +0.0900 | +0.7000 | +0.2500 | +0.4500 | +0.2800 | +0.4600 |
| Percent | -2.11% | -3.73% | -5.21% | -5.81% | -4.26% | -4.28% | -4.95% | -7.14% | -5.39% | -3.85% | -1.65% | -4.55% | -2.64% | -0.28% | -0.59% | -1.10% | -0.80% | -1.09% | -1.10% | -0.85% | -0.23% | unch | unch | unch | unch | unch | unch | unch | +0.14% | +0.65% | +0.15% | +0.22% | +1.21% | +1.87% | +5.26% | +1.25% | +3.40% | +1.42% | +0.56% | +2.48% | +1.96% | +0.87% | +4.31% | +2.11% | +2.17% | +4.51% | +4.41% | +3.90% | +4.21% | +5.11% | +13.57% | +5.16% | +3.16% | +1.45% | +1.87% | +4.67% | +8.71% | +10.00% | +7.46% | +5.23% | +2.99% | +10.00% | +2.63% | +5.26% | +12.33% | +7.35% | +4.11% |
| High | 46.0000 | 0.9800 | 12.6600 | 1.4700 | 2.3600 | 2.4600 | 9.0300 | 3.2700 | 0.7500 | 1.2800 | 0.5895 | 0.4400 | 7.0000 | 7.0300 | 25.2500 | 0.9300 | 6.2000 | 0.4700 | 0.3700 | 5.8500 | 13.3900 | 1.6500 | 0.4100 | 10.1000 | 0.2600 | 1.0600 | 4.8100 | 10.3500 | 7.1500 | 3.1700 | 33.7500 | 9.1800 | 7.5000 | 1.7000 | 2.0000 | 4.0500 | 7.7100 | 4.4000 | 18.0000 | 8.2500 | 4.1700 | 7.1500 | 6.0500 | 46.4700 | 44.7500 | 22.0000 | 0.7100 | 4.0000 | 4.7000 | 1.4400 | 0.3900 | 4.4800 | 5.0000 | 14.0000 | 27.2500 | 7.8500 | 0.3700 | 0.7899 | 0.7550 | 4.4300 | 17.5100 | 0.9900 | 27.3000 | 5.0000 | 4.1500 | 4.0900 | 11.6500 |
| Low | 45.9500 | 0.5700 | 12.0000 | 1.4000 | 2.2300 | 2.3200 | 8.9800 | 3.2500 | 0.6812 | 1.1150 | 0.5553 | 0.4000 | 7.0000 | 7.0300 | 25.1000 | 0.8800 | 6.2000 | 0.4500 | 0.3350 | 5.8500 | 13.1500 | 1.6400 | 0.3801 | 10.0500 | 0.2600 | 1.0200 | 4.8000 | 10.3500 | 6.8500 | 3.0300 | 33.7500 | 9.1800 | 7.5000 | 1.6300 | 1.8500 | 3.8500 | 7.6100 | 4.3000 | 18.0000 | 8.0200 | 4.0500 | 6.9200 | 6.0500 | 46.4700 | 44.7500 | 22.0000 | 0.7100 | 4.0000 | 4.5500 | 1.3000 | 0.3300 | 4.3300 | 4.7000 | 13.9900 | 27.2500 | 7.4500 | 0.3300 | 0.7000 | 0.6600 | 4.2000 | 16.8500 | 0.8700 | 26.7500 | 4.7100 | 3.6500 | 3.7200 | 11.1900 |
| Time | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 |
| Links |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
