# Prime Ministers of England — Ordered by Party Factions (Sequence Not Time-Based, No Years)

| Party/Faction | Prime Minister | Cabinet style | Key allies | Rival | Historical era label (non-year) |
|---|---|---|---|---|---|
| Whig | Sir Robert Walpole | Patronage networks | Townshend | Opposition Whigs | "Early Hanoverian" |
| Whig | Henry Pelham | Consensus management | Newcastle | Tory bloc | "Mid-Georgian" |
| Tory | Lord North | War cabinet | King George III | Fox | "American Revolution" |
| Tory | William Pitt the Younger | Reform-minded executive | Dundas | Fox | "Napoleonic buildup" |
| Whig | Earl Grey | Reform coalition | Russell | Wellington | "Reform agitation" |
| Conservative | Robert Peel | Administrative reform | Graham | Disraeli | "Corn Law crisis" |
| Liberal | W. E. Gladstone | Moral governance | Bright | Disraeli | "High Victorian" |
| Conservative | Marquess of Salisbury | Imperial administration | Balfour | Liberal leaders | "Imperial zenith" |
| Labour | Clement Attlee | Planning state | Bevin | Churchill | "Postwar settlement" |
| Conservative | Margaret Thatcher | Prime-ministerial leadership | Howe | Labour frontbench | "Neoliberal turn" |
