# Antibiotic-Focused Quick Guide  Common Agents and Example Indications (Drug-Centered)

| Drug (generic) | Drug class | Typical adult dose (example) | Example infections/uses (not exhaustive) | Key cautions |
|---|---|---|---|---|
| Amoxicillin | Aminopenicillin | 500 mg PO q8h | Otitis media, sinusitis, streptococcal pharyngitis | Allergy (penicillin), rash with EBV |
| Amoxicillin-clavulanate | Beta-lactam/beta-lactamase inhibitor | 875/125 mg PO q12h | Bite wounds, sinusitis, polymicrobial SSTI | Diarrhea, hepatic injury (rare) |
| Cephalexin | 1st-gen cephalosporin | 500 mg PO q6h | Cellulitis (non-purulent), impetigo | Cross-reactivity in severe penicillin allergy |
| TMP-SMX | Folate antagonist combo | 1 DS PO q12h | MRSA skin infections, UTI | Hyperkalemia, sulfa allergy |
| Doxycycline | Tetracycline | 100 mg PO q12h | Acne, tick-borne disease, CAP (atypicals) | Photosensitivity, avoid in pregnancy |
| Azithromycin | Macrolide | 500 mg day 1 then 250 mg daily | Atypical pneumonia, chlamydia | QT prolongation |
| Levofloxacin | Fluoroquinolone | 500–750 mg PO daily | CAP, pyelonephritis (selected cases) | Tendinopathy, QT, aortic risk |
| Metronidazole | Nitroimidazole | 500 mg PO q8–12h | Anaerobic infections, bacterial vaginosis | Avoid alcohol, neuropathy (long use) |
| Fluconazole | Azole antifungal | 150 mg PO once (vulvovaginal) | Candida infections | Hepatotoxicity, drug interactions |
| Acyclovir | Antiviral | 400 mg PO TID (example) | HSV infections, VZV (selected) | Renal dose adjustment |
| Oseltamivir | Antiviral | 75 mg PO BID | Influenza treatment | Nausea, neuropsychiatric (rare) |
