# Lake Information Sheet  Nearby Towns and Water Temperature (No Elevation)

| Lake | Nearby town | Typical summer water temp (°C) | Activities | Update frequency |
| --- | --- | --- | --- | --- |
| Lake Faak | Faak am See | 24 | Swimming, boating | Daily |
| Lake Ossiach | Ossiach | 25 | Sailing, swimming | Daily |
| Weissensee | Techendorf | 22 | Swimming, ice skating | Daily |
| Millstätter See | Millstatt | 24 | Swimming, diving | Daily |
| Pressegger See | Hermagor | 24 | Family swimming | Daily |
| Afritzer See | Feld am See | 23 | SUP, swimming | Daily |
| Brennsee | Feld am See | 24 | Swimming, fishing | Daily |
| Wörthersee | Klagenfurt | 25 | Swimming, events | Daily |
| Klopeiner See | St. Kanzian | 26 | Swimming | Daily |
| Längsee | St. Georgen | 23 | Swimming, walking | Daily |
