# Stocks - Hot Stocks | Hot Stocks Gainers

| Sym | EVJ | CEV | NVG | HCHC | ECF | GSB | NVX | NZF | OGEN | EVM | ALTV | BCV | ERN | BVX | RIF | BHB | NZH | GRC | CH | LTS | ENX | LBY | NRO | BTI | FTF | CVU | ESBA | TMP | VNRX | NXZ | BRG | ATNM | EVV | UTG | IF | VHC | JRS | REED | MVF | DMF | ERC | SAND | CIK | TAT | GIG | BZC | IEC | LOV | GGN-B | NHC | TXMD | HLM- | FSP | BLE | EAD | ERH | VISI | VKI | VMM | ETF | FAX | MVG | ADK-A | AMPE | GTU | NG | LEU | ORM | CCF | PHF | GLO | EGAS | ADK | BFY | CTO | RIC | APT | CQH | CEF | FPI | FCO | EIV | HNW | PTMC | NML | NHS | WYY | DXR | PARR | GLQ | IG | AST | IRT | IAF | NTIP | INTT | CQP | ONVO | SIF | RVP |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Name | Eaton Vance New Jersey Muni Income Trust | Eaton Vance California Muni Income Trust | Nuveen Insured Divadv Fund | Hc2 Holdings Inc. | Ellsworth Convertible Growth and Income | Globalscape | Nuveen California Divadv Fund 2 | Nuveen Divadv Fund 3 | Oragenics Inc | Eaton Vance California Muni Bond Fund | Alteva D/B/A | Bancroft Convertible Fund | Erin Energy Corp. | Bovie Medical Corp | Rmr Real Estate Income Fund | Bar Harbor Bankshares | Nuveen California Divadv Fund 3 | Gorman-Rupp Company | Aberdeen Chile Fund | Ladenburg Thalmann Financial Inc | Eaton Vance New York Muni Bond Fund | Libbey Inc | Neuberger Berman Real Estate Securities | British American Tobacco Industries | Franklin Templeton Limited Duration | CPI Aerostructures | Empire State Realty Op L.P. | Tompkinstrustco | Volitionrx Ltd | Nuveen Divadv Fund 2 | Bluerock Residential Growth Rei | Actinium Pharmaceuticals Inc. | Eaton Vance Limited Duration | Reaves Utility | Aberdeen Indonesia Fund | Virnetx Holding Corp | Nuveen Real Estate Fund | Reeds Inc | Munivest Fund | Dreyfus Muni Income | Wells Fargo Advantage Multi-Sector | Sandstorm Gold Ltd | Credit Suisse Asset Management | Transatlantic Petroleum Ltd | Gigoptix Inc | Breeze-Eastern Corp | IEC Electronics | Spark Networks Plc | Gamco Global Gold Natural Reou | National Healthcare Corp | Therapeuticsmd Inc | Hillman Gr Cap 11.6 | Franklin Street Properties | Blackrock Muni Income Trust II | Wells Fargo Advantage | Wells Fargo Advantage Utilities and High | Vision Company As | Invesco Advantage Muni Income Trust II | Delaware Minnesota Muni II | Aberdeen Emerging Markets Telecommunicat | Aberdeen Asia-Pacific | Mag Silver Corp | Adcare Health Systems Inc 10.87 | Ampio Pharmaceutical | Central Gold Trust | Novagold Resources Inc | Centrus Energy Corp | Owens Realty Mortgage Inc. Com | Chase Corp | Pacholder High Yield Fund | Clough Global Opportunities Fund | Gas Natural Inc | Adcare Health Systems Inc | Blackrock New York Muni Trust II | Consolidated-Tomoka Land Co. | Richmont Mines | Alpha Pro Tech | Cheniere Energy Partners LP Holdings Llc | Central Fund of Canada | Farmland Partners Inc. | Aberdeen Global | Eaton Vance Muni Bond Fund II | Pioneer Diversified High Income Trust | Pacer Trendpilot 450 ETF | Neuberger Berman MLP Income Fun | Neuberger Berman High Yield Strategies | Widepoint Corp | Daxor Corp | Par Petroleum Corp. | Clough Global Equity Fund | IGI Laboratories | Asterias Biotherapeutics Inc. | Independence Realty Trust Inc | Aberdeen Australia Equity Fund Inc | Network-1 Sec Solu | Intest Corp | Cheniere Energy Partners LP | Organovo Holdings | Sifco Industries | Retractable Technologies |
| Std Dev | +3.51 | +3.02 | +2.94 | +2.64 | +2.54 | +2.50 | +2.44 | +2.37 | +2.37 | +2.31 | +2.24 | +2.20 | +2.04 | +1.98 | +1.98 | +1.93 | +1.83 | +1.72 | +1.66 | +1.62 | +1.57 | +1.54 | +1.51 | +1.45 | +1.45 | +1.44 | +1.42 | +1.42 | +1.33 | +1.30 | +1.29 | +1.26 | +1.24 | +1.20 | +1.20 | +1.17 | +1.11 | +1.10 | +1.09 | +1.08 | +1.07 | +1.05 | +1.02 | +0.99 | +0.99 | +0.98 | +0.98 | +0.95 | +0.92 | +0.92 | +0.89 | +0.88 | +0.85 | +0.84 | +0.81 | +0.80 | +0.76 | +0.75 | +0.69 | +0.64 | +0.64 | +0.63 | +0.62 | +0.60 | +0.58 | +0.56 | +0.56 | +0.53 | +0.51 | +0.48 | +0.47 | +0.45 | +0.41 | +0.40 | +0.39 | +0.38 | +0.38 | +0.37 | +0.36 | +0.35 | +0.34 | +0.33 | +0.28 | +0.26 | +0.26 | +0.25 | +0.24 | +0.23 | +0.22 | +0.21 | +0.19 | +0.18 | +0.15 | +0.14 | +0.12 | +0.12 | +0.11 | +0.08 | +0.03 | unch |
| Last | 12.68 | 12.54 | 13.90 | 7.80 | 9.05 | 3.54 | 14.00 | 13.73 | 2.62 | 11.49 | 3.66 | 21.28 | 4.13 | 2.31 | 19.37 | 34.30 | 13.20 | 25.64 | 6.41 | 3.04 | 12.57 | 37.21 | 4.91 | 119.00 | 11.64 | 9.30 | 17.63 | 54.05 | 3.70 | 13.61 | 12.80 | 2.26 | 13.55 | 29.56 | 6.84 | 4.63 | 10.70 | 6.15 | 9.55 | 9.00 | 12.41 | 2.55 | 3.03 | 3.28 | 2.34 | 12.30 | 3.85 | 3.11 | 21.09 | 63.20 | 7.79 | 29.81 | 11.77 | 14.22 | 8.11 | 11.42 | 9.63 | 11.07 | 13.25 | 12.72 | 4.73 | 7.12 | 24.94 | 2.68 | 37.87 | 3.05 | 3.94 | 14.88 | 38.23 | 6.67 | 12.31 | 10.03 | 3.82 | 14.83 | 57.93 | 2.63 | 2.18 | 21.86 | 10.42 | 11.00 | 8.22 | 12.51 | 15.91 | 24.61 | 15.00 | 11.27 | 2.09 | 6.40 | 18.01 | 14.92 | 8.80 | 4.92 | 8.17 | 6.15 | 2.17 | 4.30 | 30.02 | 3.38 | 13.74 | 3.90 |
| Change | +0.55 | +0.14 | +0.08 | +0.64 | +0.26 | +0.20 | +0.19 | +0.12 | +0.40 | +0.13 | +0.24 | +0.48 | +0.38 | +0.17 | +0.19 | +1.08 | +0.16 | +1.05 | +0.13 | +0.10 | +0.10 | +0.80 | +0.06 | +2.21 | +0.06 | +0.33 | +0.22 | +0.79 | +0.10 | +0.05 | +0.26 | +0.10 | +0.08 | +0.27 | +0.10 | +0.13 | +0.09 | +0.11 | +0.05 | +0.06 | +0.06 | +0.12 | +0.02 | +0.22 | +0.11 | +0.30 | +0.18 | +0.05 | +0.18 | +0.78 | +0.18 | +0.33 | +0.08 | +0.06 | +0.04 | +0.07 | +0.11 | +0.03 | +0.05 | +0.14 | +0.02 | +0.14 | +0.13 | +0.08 | +0.16 | +0.09 | +0.06 | +0.13 | +0.37 | +0.02 | +0.04 | +0.04 | +0.04 | +0.07 | +0.31 | +0.03 | +0.01 | +0.12 | +0.04 | +0.10 | +0.02 | +0.03 | +0.02 | +0.05 | +0.07 | +0.02 | +0.02 | +0.05 | +0.05 | +0.03 | +0.08 | +0.05 | +0.03 | +0.01 | +0.02 | +0.01 | +0.05 | +0.01 | +0.01 | unch |
| Percent | +4.53% | +1.13% | +0.58% | +8.94% | +2.96% | +5.99% | +1.38% | +0.88% | +18.02% | +1.14% | +7.02% | +2.31% | +10.13% | +7.94% | +0.99% | +3.25% | +1.23% | +4.27% | +2.07% | +3.40% | +0.80% | +2.20% | +1.24% | +1.89% | +0.52% | +3.68% | +1.26% | +1.48% | +2.78% | +0.37% | +2.07% | +4.63% | +0.59% | +0.92% | +1.48% | +2.89% | +0.85% | +1.82% | +0.53% | +0.67% | +0.49% | +4.94% | +0.66% | +7.19% | +4.93% | +2.50% | +4.90% | +1.63% | +0.86% | +1.25% | +2.37% | +1.12% | +0.68% | +0.42% | +0.50% | +0.62% | +1.16% | +0.27% | +0.38% | +1.11% | +0.42% | +2.01% | +0.52% | +3.08% | +0.42% | +3.04% | +1.55% | +0.88% | +0.98% | +0.30% | +0.33% | +0.40% | +1.06% | +0.47% | +0.54% | +1.15% | +0.46% | +0.55% | +0.39% | +0.92% | +0.24% | +0.24% | +0.13% | +0.20% | +0.47% | +0.18% | +0.97% | +0.79% | +0.28% | +0.20% | +0.92% | +1.03% | +0.37% | +0.16% | +0.93% | +0.23% | +0.17% | +0.30% | +0.07% | unch |
| High | 12.68 | 12.54 | 13.91 | 7.80 | 9.09 | 3.63 | 14.00 | 13.74 | 2.90 | 11.49 | 3.70 | 21.28 | 4.28 | 2.35 | 19.42 | 34.30 | 13.20 | 25.98 | 6.47 | 3.05 | 12.57 | 37.94 | 4.91 | 119.03 | 11.65 | 9.39 | 17.80 | 54.50 | 3.70 | 13.61 | 12.80 | 2.26 | 13.58 | 29.72 | 6.95 | 4.65 | 10.75 | 6.25 | 9.58 | 9.01 | 12.43 | 2.56 | 3.03 | 3.35 | 2.37 | 12.43 | 3.85 | 3.11 | 21.09 | 63.51 | 7.86 | 30.01 | 11.86 | 14.22 | 8.13 | 11.46 | 9.64 | 11.12 | 13.30 | 12.76 | 4.75 | 7.27 | 25.03 | 2.68 | 38.20 | 3.10 | 3.97 | 14.96 | 38.81 | 6.70 | 12.36 | 10.03 | 3.85 | 14.91 | 58.29 | 2.68 | 2.19 | 22.38 | 10.55 | 11.09 | 8.28 | 12.56 | 15.94 | 24.72 | 15.17 | 11.30 | 2.15 | 6.43 | 18.15 | 14.98 | 8.87 | 5.14 | 8.38 | 6.21 | 2.18 | 4.30 | 30.16 | 3.50 | 14.45 | 3.90 |
| Low | 11.95 | 12.41 | 13.82 | 7.03 | 8.81 | 3.50 | 13.80 | 13.62 | 2.17 | 11.35 | 3.50 | 20.89 | 3.73 | 2.10 | 19.34 | 32.31 | 13.05 | 24.59 | 6.31 | 2.93 | 12.48 | 36.58 | 4.82 | 118.48 | 11.55 | 8.90 | 17.50 | 53.37 | 3.57 | 13.56 | 12.63 | 2.15 | 13.48 | 29.45 | 6.74 | 4.48 | 10.61 | 6.00 | 9.50 | 8.93 | 12.33 | 2.45 | 3.01 | 3.01 | 2.07 | 12.15 | 3.75 | 3.02 | 20.86 | 62.58 | 7.46 | 29.39 | 11.68 | 14.16 | 8.06 | 11.32 | 9.45 | 11.07 | 13.22 | 12.63 | 4.70 | 7.02 | 24.94 | 2.56 | 37.87 | 2.98 | 3.85 | 14.61 | 37.80 | 6.65 | 12.26 | 9.81 | 3.75 | 14.66 | 56.82 | 2.61 | 2.17 | 21.03 | 10.39 | 10.84 | 8.22 | 12.48 | 15.83 | 24.61 | 14.81 | 11.23 | 2.06 | 6.35 | 17.79 | 14.89 | 8.52 | 4.75 | 8.06 | 6.14 | 2.14 | 4.30 | 29.46 | 3.32 | 13.47 | 3.80 |
| Time | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 |
| Links |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
