# Beijing 2008 Olympics — Top Medal-Winning Nations (Gold–Silver–Bronze and Total)

| Rank | Country | Gold | Silver | Bronze | Total |
|---:|---|---:|---:|---:|---:|
| 1 | China | 51 | 21 | 28 | 100 |
| 2 | United States | 36 | 38 | 36 | 110 |
| 3 | Russia | 23 | 21 | 28 | 72 |
| 4 | Great Britain | 19 | 13 | 15 | 47 |
| 5 | Australia | 14 | 15 | 17 | 46 |
| 6 | Germany | 16 | 10 | 15 | 41 |
| 7 | France | 7 | 16 | 17 | 40 |
| 8 | South Korea | 13 | 10 | 8 | 31 |
| 9 | Italy | 8 | 10 | 10 | 28 |
| 10 | Ukraine | 7 | 5 | 15 | 27 |
| 11 | Japan | 9 | 6 | 10 | 25 |
| 12 | Cuba | 2 | 11 | 11 | 24 |
