# Hormone Production and Regulation (Hypothalamus–Pituitary Axes Emphasis)

| Axis | Hypothalamic Factor | Pituitary Hormone | Target Gland/Organ | Feedback Signal | Regulation Notes |
| --- | --- | --- | --- | --- | --- |
| HPA axis | CRH | ACTH | Adrenal cortex | Cortisol | Negative feedback to pituitary/hypothalamus |
| HPT axis | TRH | TSH | Thyroid gland | T3/T4 | TSH driven by TRH; inhibited by thyroid hormones |
| HPG axis (male) | GnRH | LH/FSH | Testes | Testosterone; inhibin B | Pulsatile GnRH required for LH/FSH release |
| HPG axis (female) | GnRH | LH/FSH | Ovaries | Estradiol; progesterone; inhibin | Mid-cycle positive feedback noted |
| GH axis | GHRH; somatostatin | Growth hormone | Liver/tissues | IGF-1 | Somatostatin inhibits; IGF-1 feedback |
| Prolactin axis | Dopamine (PIH) | Prolactin | Breast | Dopamine | Dopamine tonically inhibits prolactin |
| Posterior pituitary | Osmoreceptors | ADH (vasopressin) | Kidney collecting duct | Plasma osmolality | Osmolality/volume sensors regulate release |
| Posterior pituitary | Cervical stretch | Oxytocin | Uterus/breast | N/A | Neuroendocrine reflex regulation |
| Calcium homeostasis | N/A | PTH | Bone/kidney | Serum calcium | CaSR-mediated control of secretion |
| RAAS | Renin triggers Ang II | Aldosterone | Adrenal cortex | Blood pressure/K+ | Ang II and K+ stimulate secretion |
