# Nutritional value of common healthy foods (per 100 g, raw unless noted)

| Food | Energy (kcal) | Protein (g) | Total fat (g) | Carbohydrate (g) | Dietary fiber (g) | Sugars (g) | Sodium (mg) | Potassium (mg) |
|---|---:|---:|---:|---:|---:|---:|---:|---:|
| Apple, with skin | 52 | 0.3 | 0.2 | 13.8 | 2.4 | 10.4 | 1 | 107 |
| Banana | 89 | 1.1 | 0.3 | 22.8 | 2.6 | 12.2 | 1 | 358 |
| Blueberries | 57 | 0.7 | 0.3 | 14.5 | 2.4 | 10.0 | 1 | 77 |
| Broccoli | 34 | 2.8 | 0.4 | 6.6 | 2.6 | 1.7 | 33 | 316 |
| Carrot | 41 | 0.9 | 0.2 | 9.6 | 2.8 | 4.7 | 69 | 320 |
| Chickpeas, cooked | 164 | 8.9 | 2.6 | 27.4 | 7.6 | 4.8 | 7 | 291 |
| Lentils, cooked | 116 | 9.0 | 0.4 | 20.1 | 7.9 | 1.8 | 2 | 369 |
| Salmon, Atlantic (raw) | 208 | 20.4 | 13.4 | 0.0 | 0.0 | 0.0 | 59 | 363 |
| Greek yogurt, plain (nonfat) | 59 | 10.3 | 0.4 | 3.6 | 0.0 | 3.6 | 36 | 141 |
| Almonds | 579 | 21.2 | 49.9 | 21.6 | 12.5 | 4.4 | 1 | 733 |
