# Official Currencies by Country (Selection) — Names, Symbols, and Subdivisions

| Country | Sovereign / Territory Type | Official currency (name) | Currency symbol(s) | Subunit (1 currency = ...) |
|---|---|---|---|---|
| Japan | Sovereign state | Japanese yen | ¥ | 1 yen = 100 sen (sen not used in practice) |
| United Kingdom | Sovereign state | Pound sterling | £ | 1 pound = 100 pence |
| United States | Sovereign state | United States dollar | $ / US$ | 1 dollar = 100 cents |
| Canada | Sovereign state | Canadian dollar | C$ / CA$ | 1 dollar = 100 cents |
| Mexico | Sovereign state | Mexican peso | $ / Mex$ | 1 peso = 100 centavos |
| Brazil | Sovereign state | Brazilian real | R$ | 1 real = 100 centavos |
| South Africa | Sovereign state | South African rand | R | 1 rand = 100 cents |
| Nigeria | Sovereign state | Nigerian naira | ₦ | 1 naira = 100 kobo |
| Kenya | Sovereign state | Kenyan shilling | KSh | 1 shilling = 100 cents |
| Egypt | Sovereign state | Egyptian pound | E£ | 1 pound = 100 piastres |
| Turkey | Sovereign state | Turkish lira | ₺ | 1 lira = 100 kuruş |
| Saudi Arabia | Sovereign state | Saudi riyal | ﷼ / SAR | 1 riyal = 100 halalas |
| United Arab Emirates | Sovereign state (federation) | UAE dirham | د.إ | 1 dirham = 100 fils |
| India | Sovereign state | Indian rupee | ₹ | 1 rupee = 100 paise |
| Thailand | Sovereign state | Thai baht | ฿ | 1 baht = 100 satang |
