# Canadian brand Top 40 - Canadian Business - Your Source For Business News

| Ranking | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17 | 18 | 19 | 20 | 21 | 22 | 23 | 24 | 25 | 26 | 27 | 28 | 29 | 30 | 31 | 32 | 33 | 34 | 35 | 36 | 37 | 38 | 39 | 40 |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Company | Tim Hortons | Westjet | McCain Foods | Canadian Tire | Jean Coutu Group | Shoppers Drug Mart (Pharmaprix) | Bombardier Inc | Saputo | TD Bank | RONA | Rexall | Husky Energy | Metro | Sobey's | CIBC | Air Transat | Canadian Natural Resources | Potash Corp | Maple Leaf Foods | Sun Life Financial | Manitoba Hydro | Bank of Montreal | Loblaws | Cott | Magna International | Shaw Communications | EnCana Corporation | Royal Bank of Canada | Alimentation Couche-Tard (Mac's) | Air Canada | Scotiabank | Manitoba Telecom Services | Cenovus | Manulife | BlackBerry | National Bank of Canada | Power Corp Of Canada | Telus Corporation | Petro-Canada (Suncor Energy) | BC Hydro |
| Reputation | 77.17 | 74.84 | 74.15 | 73.16 | 72.62 | 71.84 | 70.16 | 69.52 | 66.80 | 66.56 | 65.86 | 65.60 | 65.34 | 63.85 | 63.75 | 63.43 | 63.31 | 63.26 | 62.87 | 62.82 | 62.68 | 62.32 | 62.07 | 61.91 | 61.85 | 61.51 | 61.36 | 61.30 | 61.03 | 60.91 | 60.46 | 60.29 | 59.56 | 59.30 | 58.10 | 57.59 | 56.90 | 56.55 | 55.96 | 54.68 |
| Products | 69.10 | 73.56 | 72.88 | 72.16 | 71.51 | 72.21 | 73.88 | 76.47 | 69.01 | 66.78 | 71.00 | 68.91 | 67.91 | 70.47 | 67.02 | 62.86 | 64.68 | 66.80 | 65.16 | 64.69 | 66.16 | 61.98 | 63.61 | 64.02 | 65.41 | 65.91 | 68.09 | 67.03 | 59.16 | 62.51 | 62.97 | 65.21 | 60.27 | 62.92 | 64.65 | 60.38 | 61.57 | 62.89 | 61.06 | 58.84 |
| Innovation | 71.29 | 69.77 | 71.03 | 68.22 | 65.86 | 66.32 | 74.99 | 67.19 | 66.52 | 60.90 | 65.53 | 65.71 | 62.20 | 66.60 | 61.94 | 58.71 | 61.81 | 61.59 | 60.62 | 59.77 | 62.09 | 61.00 | 60.23 | 58.61 | 65.86 | 65.55 | 65.81 | 60.67 | 55.21 | 58.56 | 59.41 | 61.22 | 60.82 | 61.17 | 63.74 | 55.58 | 59.64 | 63.51 | 56.61 | 57.02 |
| Workplace | 56.45 | 73.60 | 61.61 | 65.67 | 65.90 | 68.09 | 66.65 | 63.64 | 65.47 | 58.86 | 65.45 | 68.74 | 58.29 | 66.28 | 65.35 | 62.16 | 63.13 | 64.04 | 58.87 | 61.14 | 65.48 | 61.40 | 54.42 | 63.70 | 59.37 | 66.78 | 66.95 | 62.05 | 52.34 | 58.48 | 62.51 | 60.49 | 61.41 | 60.80 | 59.13 | 56.80 | 60.73 | 60.44 | 56.63 | 63.58 |
| Citizenship | 77.54 | 68.42 | 64.12 | 73.96 | 68.27 | 67.67 | 63.99 | 62.86 | 66.52 | 61.38 | 65.57 | 64.02 | 61.79 | 64.72 | 64.77 | 56.32 | 64.05 | 59.20 | 64.84 | 59.96 | 63.38 | 63.91 | 62.56 | 63.09 | 60.21 | 61.26 | 63.11 | 62.66 | 55.25 | 58.61 | 65.29 | 64.69 | 57.30 | 61.80 | 59.44 | 59.17 | 56.18 | 61.37 | 52.46 | 58.17 |
| Governance | 69.66 | 73.51 | 67.46 | 70.59 | 67.22 | 67.69 | 66.43 | 66.86 | 67.06 | 62.98 | 66.22 | 65.41 | 62.31 | 65.39 | 65.43 | 61.58 | 61.23 | 61.94 | 63.17 | 61.63 | 59.12 | 59.64 | 60.55 | 62.28 | 60.40 | 62.52 | 60.24 | 60.73 | 59.61 | 58.46 | 61.78 | 63.07 | 61.92 | 62.07 | 59.16 | 59.44 | 56.50 | 56.67 | 54.87 | 52.87 |
| Leadership | 69.99 | 72.85 | 69.25 | 68.72 | 70.06 | 67.46 | 70.32 | 65.43 | 68.09 | 60.98 | 66.55 | 67.46 | 62.39 | 67.13 | 66.47 | 62.90 | 64.37 | 64.39 | 65.66 | 66.93 | 62.85 | 62.77 | 61.99 | 62.33 | 64.77 | 62.15 | 67.43 | 64.84 | 58.38 | 57.88 | 60.88 | 63.48 | 61.21 | 61.22 | 57.21 | 60.16 | 61.07 | 59.70 | 57.94 | 55.63 |
| Performance | 75.99 | 71.96 | 72.05 | 70.87 | 70.52 | 69.84 | 68.73 | 65.27 | 68.74 | 63.31 | 69.05 | 68.90 | 64.58 | 65.74 | 67.23 | 60.31 | 64.70 | 68.78 | 67.12 | 67.79 | 63.43 | 68.45 | 60.98 | 62.13 | 67.05 | 67.03 | 73.03 | 68.19 | 63.52 | 56.44 | 65.53 | 64.12 | 61.84 | 64.21 | 54.70 | 64.68 | 63.04 | 63.89 | 62.50 | 59.36 |
