# County Cork (Ireland) — Barony-Level Areas and Notes

| Barony | County | Area (sq km) | Main Towns | Notes |
|---|---|---:|---|---|
| Barrymore | Cork | 432.1 | Midleton | Historic barony division |
| Carbery East | Cork | 615.4 | Skibbereen | Coastal barony grouping |
| Carbery West | Cork | 702.8 | Clonakilty | Includes multiple parishes |
| Duhallow | Cork | 890.6 | Kanturk | Large inland barony |
| Imokilly | Cork | 510.3 | Youghal | Eastern barony |
| Kerrycurrihy | Cork | 215.7 | Carrigaline | Near Cork Harbour |
| Kinalmeaky | Cork | 198.9 | Bandon | Historic barony |
| Muskerry East | Cork | 274.2 | Macroom | Part of Muskerry |
| Muskerry West | Cork | 410.5 | Millstreet | Upland areas |
| Orrery and Kilmore | Cork | 305.0 | Buttevant | Barony-level record |
| West Cork (group) | Cork | 1318.0 | Bantry | Aggregated baronies (not county total) |
