# Timeline of EU Enlargements  Member States and Their Accession Dates (Country-per-row)

| Enlargement group | Country | Accession date | Accession year | EU at time | Comment |
|---|---|---:|---:|---|---|
| Founding members | Belgium | 1958-01-01 | 1958 | EEC | Treaty basis signed 1957; membership effective 1958 |
| Founding members | France | 1958-01-01 | 1958 | EEC |  |
| Founding members | Germany | 1958-01-01 | 1958 | EEC | Joined as West Germany |
| Founding members | Italy | 1958-01-01 | 1958 | EEC |  |
| Founding members | Luxembourg | 1958-01-01 | 1958 | EEC |  |
| Founding members | Netherlands | 1958-01-01 | 1958 | EEC |  |
| 1973 enlargement | Denmark | 1973-01-01 | 1973 | EEC |  |
| 1973 enlargement | Ireland | 1973-01-01 | 1973 | EEC |  |
| 1973 enlargement | United Kingdom | 1973-01-01 | 1973 | EEC | Later withdrew (Brexit) but accession date remains historical |
| 1981 enlargement | Greece | 1981-01-01 | 1981 | EEC |  |
| 1986 enlargement | Portugal | 1986-01-01 | 1986 | EEC |  |
| 1986 enlargement | Spain | 1986-01-01 | 1986 | EEC |  |
| 1995 enlargement | Austria | 1995-01-01 | 1995 | EU |  |
| 1995 enlargement | Finland | 1995-01-01 | 1995 | EU |  |
| 1995 enlargement | Sweden | 1995-01-01 | 1995 | EU |  |
| 2004 enlargement | Cyprus | 2004-05-01 | 2004 | EU |  |
| 2004 enlargement | Czech Republic | 2004-05-01 | 2004 | EU |  |
| 2004 enlargement | Estonia | 2004-05-01 | 2004 | EU |  |
| 2004 enlargement | Hungary | 2004-05-01 | 2004 | EU |  |
| 2004 enlargement | Latvia | 2004-05-01 | 2004 | EU |  |
| 2004 enlargement | Lithuania | 2004-05-01 | 2004 | EU |  |
| 2004 enlargement | Malta | 2004-05-01 | 2004 | EU |  |
| 2004 enlargement | Poland | 2004-05-01 | 2004 | EU |  |
| 2004 enlargement | Slovakia | 2004-05-01 | 2004 | EU |  |
| 2004 enlargement | Slovenia | 2004-05-01 | 2004 | EU |  |
| 2007 enlargement | Bulgaria | 2007-01-01 | 2007 | EU |  |
| 2007 enlargement | Romania | 2007-01-01 | 2007 | EU |  |
| 2013 enlargement | Croatia | 2013-07-01 | 2013 | EU |  |
