# Beijing 2008 Summer Olympics  Medal Table by Country (Gold Silver Bronze Totals)

| Rank | Country | Gold | Silver | Bronze | Total |
|---:|---|---:|---:|---:|---:|
| 1 | China | 48 | 22 | 30 | 100 |
| 2 | United States | 36 | 38 | 36 | 110 |
| 3 | Russia | 24 | 13 | 23 | 60 |
| 4 | Great Britain | 19 | 13 | 15 | 47 |
| 5 | Germany | 16 | 10 | 15 | 41 |
| 6 | Australia | 14 | 15 | 17 | 46 |
| 7 | South Korea | 13 | 10 | 8 | 31 |
| 8 | Japan | 9 | 6 | 10 | 25 |
| 9 | Italy | 8 | 10 | 10 | 28 |
| 10 | France | 7 | 16 | 18 | 41 |
