# Volleyball Results - 2008 Beijing Summer Olympics - USATODAY.com

| Russian Federation | Alexey Verbov | Sergey Tetyukhin | Alexander Kosarev | Yury Berezhko | Alexey Kuleshov | Alexander Volkov |
| --- | --- | --- | --- | --- | --- | --- |
| TM | 5 | 5 | 5 | 5 | 5 | 5 |
| PM | 5 | 4 | 4 | 5 | 5 | 4 |
| TS | 21 | 21 | 21 | 21 | 21 | 21 |
| SP | 21 | 17 | 15 | 15 | 19 | 18 |
| RE | 32 | 24 | 13 | 4 | 3 | 1 |
| RF | 1 | 0 | 3 | 1 | 0 | 0 |
| RS | 5 | 3 | 1 | 1 | 0 | 0 |
| RT | 38 | 27 | 17 | 6 | 3 | 1 |
| RE | 32 | 24 | 13 | 4 | 3 | 1 |
