# Comparative Qualitative Risk Levels of Selected Human Infectious Diseases

| Disease | Primary transmission / exposure | Risk level (qualitative) | Typical severity if untreated | Outbreak / spread potential | Notes (why this risk level is used) |
|---|---|---|---|---|---|
| Rabies | Animal bite/saliva | Very high | Almost always fatal after symptoms begin | Low | Rare in many settings but extreme case fatality drives risk |
| Ebola virus disease | Body fluids, healthcare exposure | Very high | High fatality, severe hemorrhagic illness | Intermediate | Requires close contact; high consequence events |
| Measles | Airborne respiratory | High | Can be severe; complications common in unvaccinated | Very high | Extremely contagious; rapid community spread |
| Tuberculosis (pulmonary) | Airborne droplets/aerosols | High | Severe chronic disease; drug resistance possible | High | Sustained transmission in crowded settings |
| Cholera | Contaminated water/food | High | Can be rapidly fatal via dehydration | High | High outbreak potential where sanitation is poor |
| Seasonal influenza | Respiratory droplets/aerosols | Intermediate | Usually self-limited but can be severe in risk groups | High | High incidence; moderate individual severity |
| Dengue | Aedes mosquito | Intermediate | Severe dengue possible in a minority | Intermediate | Vector-dependent; outbreaks occur seasonally |
| Salmonellosis (non-typhoidal) | Contaminated food | Low | Usually mild-moderate gastroenteritis | Intermediate | Common but typically low severity in healthy adults |
| Giardiasis | Contaminated water | Low | Prolonged diarrhea but rarely life-threatening | Low | Limited severe outcomes; treatable |
| Hepatitis A | Fecal–oral (food/water) | Intermediate | Can cause significant illness; rarely fulminant | Intermediate | Higher impact in adults; vaccine-preventable |
| Meningococcal disease | Respiratory secretions/close contact | High | Rapidly progressive sepsis/meningitis | Intermediate | Lower incidence but high consequence |
| Malaria (P. falciparum) | Anopheles mosquito | High | Severe disease and death possible without treatment | Intermediate | High risk in endemic regions; preventive measures reduce risk |
