# Leading Causes of Death by Age Group (Example Population, 2020) — Death Counts and Rank

| Age group | Rank | Heart disease (deaths) | Cancer (deaths) | Unintentional injuries (deaths) | Chronic lower respiratory diseases (deaths) | Stroke (deaths) | Diabetes (deaths) | Alzheimer's disease (deaths) | Influenza & pneumonia (deaths) | Suicide (deaths) |
|---|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|
| 0–14 | 1 | 60 | 35 | 120 | 5 | 8 | 3 | 0 | 12 | 20 |
| 0–14 | 2 | 60 | 35 | 120 | 5 | 8 | 3 | 0 | 12 | 20 |
| 0–14 | 3 | 60 | 35 | 120 | 5 | 8 | 3 | 0 | 12 | 20 |
| 15–24 | 1 | 220 | 180 | 1,450 | 35 | 40 | 25 | 5 | 30 | 520 |
| 15–24 | 2 | 220 | 180 | 1,450 | 35 | 40 | 25 | 5 | 30 | 520 |
| 15–24 | 3 | 220 | 180 | 1,450 | 35 | 40 | 25 | 5 | 30 | 520 |
| 25–44 | 1 | 1,150 | 980 | 2,100 | 210 | 190 | 260 | 40 | 160 | 780 |
| 25–44 | 2 | 1,150 | 980 | 2,100 | 210 | 190 | 260 | 40 | 160 | 780 |
| 25–44 | 3 | 1,150 | 980 | 2,100 | 210 | 190 | 260 | 40 | 160 | 780 |
| 45–64 | 1 | 12,400 | 13,900 | 4,100 | 3,200 | 2,100 | 2,800 | 900 | 1,100 | 1,250 |
| 45–64 | 2 | 12,400 | 13,900 | 4,100 | 3,200 | 2,100 | 2,800 | 900 | 1,100 | 1,250 |
| 45–64 | 3 | 12,400 | 13,900 | 4,100 | 3,200 | 2,100 | 2,800 | 900 | 1,100 | 1,250 |
| 65+ | 1 | 58,200 | 47,600 | 9,300 | 16,800 | 12,900 | 9,700 | 18,400 | 7,600 | 1,100 |
| 65+ | 2 | 58,200 | 47,600 | 9,300 | 16,800 | 12,900 | 9,700 | 18,400 | 7,600 | 1,100 |
| 65+ | 3 | 58,200 | 47,600 | 9,300 | 16,800 | 12,900 | 9,700 | 18,400 | 7,600 | 1,100 |
