# ERP Implementation Services  Typical Consultant Day Rates by Role (Not Software Pricing)

| Role | Region | Typical Day Rate (USD) | Typical Engagement Length | Included Work | Excludes |
|---|---|---:|---|---|---|
| ERP Solution Architect | North America | 1400 | 8–20 weeks | Target design, integration blueprint | Software license/subscription fees |
| ERP Functional Consultant (Finance) | North America | 1100 | 6–16 weeks | GL/AP/AR, reporting setup | Vendor SaaS subscription |
| ERP Functional Consultant (Manufacturing) | North America | 1200 | 6–18 weeks | MRP, BOM, routings | Per-user licensing |
| ERP Technical Consultant | North America | 1250 | 6–20 weeks | APIs, data migration scripts | Cloud hosting charges |
| ERP Project Manager | North America | 1300 | 8–24 weeks | Plan, governance, risk control | ERP product list price |
| Data Migration Specialist | North America | 1000 | 4–12 weeks | Cleansing, ETL runs | Subscription tiers |
| QA / Test Lead | North America | 900 | 4–12 weeks | Test strategy, UAT support | Named-user costs |
| Trainer / Change Manager | North America | 850 | 4–10 weeks | Enablement, materials, workshops | License minimums |
| ERP Support Analyst (Post-go-live) | North America | 700 | 12–52 weeks | Ticket handling, minor fixes | Any ERP plan pricing |
| Integration Developer | North America | 1150 | 6–16 weeks | Middleware, connectors | Vendor pricing page amounts |
