# Pro Wrestling Champions — Quiz Prompt Table (Guess the Reign Dates)

| Prompt ID | Wrestler | Championship | Question | Answer (Hidden) | Hint |
| --- | --- | --- | --- | --- | --- |
| Q1 | Hiroshi Tanahashi | IWGP Heavyweight Championship | In which year did this reign begin? | 2011 | Tokyo Dome era |
| Q2 | John Cena | WWE Championship | Which month did the title change hands? | April | Post-WrestleMania |
| Q3 | Becky Lynch | Raw Women's Championship | Did the reign end before the next WrestleMania? | Yes | 2019–2020 window |
| Q4 | Ric Flair | NWA Worlds Heavyweight Championship | Estimate the length of the reign in months | 6 | Classic territory |
| Q5 | Kazuchika Okada | IWGP Heavyweight Championship | Was the reign longer than one year? | Yes | Record-setting |
| Q6 | Brock Lesnar | WWE Universal Championship | Pick the correct start year | 2017 | Part-time run |
| Q7 | AJ Styles | WWE Championship | Choose the correct end year | 2017 | SmackDown era |
| Q8 | Sting | WCW World Heavyweight Championship | Did this reign start in the 1990s? | Yes | Monday Nitro |
| Q9 | Randy Orton | WWE Championship | How many total days was the reign? | 273 | Late-2000s |
| Q10 | Sasha Banks | SmackDown Women's Championship | Was the reign under 100 days? | Yes | Short run |
| Q11 | Kenny Omega | AEW World Championship | Which year did the reign end? | 2021 | Title lost to Hangman |
