# Most Pirated Movies via BitTorrent (Weekly Top 10)

| Rank | Title | Week | Estimated Downloads | Typical Release Type | Notes |
|---:|---|---|---:|---|---|
| 1 | Dune: Part Two | 2024-W12 | 1,250,000 | WEB-DL | High demand new release |
| 2 | Oppenheimer | 2024-W12 | 980,000 | BluRay | Awards-season spike |
| 3 | Barbie | 2024-W12 | 910,000 | BluRay | Family/audience crossover |
| 4 | John Wick: Chapter 4 | 2024-W12 | 740,000 | WEBRip | Action catalog staple |
| 5 | Godzilla x Kong | 2024-W12 | 690,000 | CAM/TS | Early low-quality copies |
| 6 | Spider-Man: Across the Spider-Verse | 2024-W12 | 640,000 | BluRay | Animated repeat interest |
| 7 | The Batman | 2024-W12 | 520,000 | BluRay | Franchise traffic |
| 8 | Wonka | 2024-W12 | 500,000 | WEB-DL | Family viewing |
| 9 | Mission: Impossible – Dead Reckoning | 2024-W12 | 470,000 | WEB-DL | Sequel interest |
| 10 | Guardians of the Galaxy Vol. 3 | 2024-W12 | 450,000 | BluRay | Back-catalog pull |
