# Plant Hormones  Biosynthesis Sites, Transport Routes, and Chemical Classes

| Hormone | Chemical class | Primary biosynthesis sites | Long-distance transport | Key transport proteins | Typical accumulation sites |
| --- | --- | --- | --- | --- | --- |
| Auxin (IAA) | Indole compound | Shoot apical meristem, young leaves | Polar cell-to-cell transport | PIN, AUX1/LAX | Root tips, developing organs |
| Cytokinin | Adenine derivatives | Root apical meristem | Xylem transport to shoots | ABCG14 (export) | Shoot meristems, young leaves |
| Gibberellin (GA) | Diterpenoids | Young tissues, developing seeds | Phloem/xylem (species-dependent) | NPF transporters (some GA forms) | Elongating stems, seeds |
| Abscisic acid (ABA) | Sesquiterpenoid | Leaves (stress), roots | Xylem/phloem | ABCG25/40, NPF | Guard cells, seeds |
| Ethylene | Gaseous hydrocarbon | Most tissues (esp. ripening fruit) | Diffuses through air spaces | N/A (diffusion) | Ripening fruit, senescing tissues |
| Brassinosteroid | Steroid | Young growing tissues | Mostly local (short-range) | Limited evidence for long-distance | Meristems, elongation zones |
| Strigolactone | Carotenoid-derived | Roots (esp. low phosphate) | Xylem to shoots | PDR/ABCG transporters | Rhizosphere, shoot bases |
| Jasmonate (JA) | Oxylipin | Wounded leaves | Phloem/mobile conjugates | JAT/NPF candidates | Damaged tissues |
| Salicylic acid (SA) | Phenolic | Leaves (pathogen response) | Phloem/mobile signals | EDS5 (export) | Infection sites |
