# Food Type Directory (Foods Listed Down Rows)

| Food item | Food type | Typical serving | Common diet note | Allergens/flags |
| --- | --- | --- | --- | --- |
| Rice | Grain | 1 cup cooked | Staple carbohydrate | Gluten-free |
| Quinoa | Pseudograin | 1 cup cooked | Higher protein than many grains | Gluten-free |
| Broccoli | Vegetable | 1 cup chopped | High fiber | Low FODMAP in small portions |
| Avocado | Fruit | 1/2 avocado | High fat | Latex cross-reactivity (some) |
| Ice cream | Dairy dessert | 1/2 cup | High added sugar | Milk |
| Chocolate | Confection | 1 oz | Contains stimulants (caffeine/theobromine) | May contain milk/nuts |
| Cake | Baked dessert | 1 slice | Refined flour/sugar | Wheat, eggs |
| Soba noodles | Noodle | 1 cup cooked | May be mixed with wheat | Buckwheat/wheat |
| Lentils | Legume | 1/2 cup cooked | High fiber/protein | May cause GI sensitivity |
| Potato chips | Snack | 1 oz | High sodium | null (varies) |
