# Prime Ministers of Great Britain and the United Kingdom (1721–1902)  term dates, party, and monarch

| Prime Minister | Party | Took office | Left office | Monarch during term (main) | Notes |
|---|---|---|---|---|---|
| Sir Robert Walpole | Whig | 1721 | 1742 | George I / George II | Often regarded as the first de facto PM |
| Henry Pelham | Whig | 1743 | 1754 | George II | Led during the War of the Austrian Succession |
| George Grenville | Whig | 1763 | 1765 | George III | Associated with early American revenue measures |
| Lord North | Tory | 1770 | 1782 | George III | PM during much of the American War of Independence |
| William Pitt the Younger | Tory | 1783 | 1801 | George III | Served two non-consecutive terms |
| Henry Addington | Tory | 1801 | 1804 | George III | Peace of Amiens period |
| William Pitt the Younger | Tory | 1804 | 1806 | George III | Second term; Napoleonic Wars |
| Lord Liverpool | Tory | 1812 | 1827 | George III / George IV | One of the longest-serving PMs |
| Earl Grey | Whig | 1830 | 1834 | William IV | Great Reform Act era |
| Sir Robert Peel | Conservative | 1841 | 1846 | Victoria | Repeal of the Corn Laws |
| Lord John Russell | Whig | 1846 | 1852 | Victoria | Mid-19th century reform politics |
| Benjamin Disraeli | Conservative | 1874 | 1880 | Victoria | Imperial/foreign-policy emphasis |
| William Ewart Gladstone | Liberal | 1880 | 1885 | Victoria | One of several Gladstone ministries |
| Marquess of Salisbury | Conservative | 1895 | 1902 | Victoria / Edward VII | Led during late-Victorian period |
| Arthur Balfour | Conservative | 1902 | 1905 | Edward VII | Early 20th-century Conservative leader |
