# Raul Ibanez Career Vs. Pitcher Stats | RotoWire

| Pitcher | Bartolo Colon | John Lackey | Jon Garland | Tim Hudson | Joe Blanton | Kevin Millwood | Barry Zito | Johan Santana | CC Sabathia | Dan Haren | Derek Lowe | Mark Buehrle | Mike Pelfrey | Kenny Rogers | Chris Young | Jered Weaver | Cliff Lee | Kyle Lohse | Ervin Santana | Brad Radke | R.A. Dickey | Vicente Padilla | Tim Wakefield | Justin Verlander | Javier Vazquez | Jeremy Bonderman | Kelvim Escobar | Mike Maroth | Daniel Cabrera | John Lannan | Rodrigo Lopez | Francisco Rodriguez | Freddy Garcia | Mike Mussina | Jake Westbrook | Scot Shields | Nate Robertson | Rich Harden | Anibal Sanchez | Andy Pettitte | James Shields | Jarrod Washburn | Paul Byrd | Chien-Ming Wang | Chris Volstad | Roy Halladay | Esteban Loaiza | Jason Marquis | Shaun Marcum | Sidney Ponson | Joe Saunders | C.J. Wilson | Ricky Nolasco | Chan Ho Park | Carlos Silva | Ryan Drese | Kameron Loe | Jeff Weaver | Joaquin Benoit | Jamie Walker | Justin Masterson | J.C. Romero | Jason Hammel | Tommy Hanson | Gil Meche | Bud Norris | Josh Beckett | Hiroki Kuroda | Scott Baker | Ismael Valdez | Chad Gaudin | Scott Feldman | Josh Johnson | Aaron Sele | Randy Wolf | Kevin Gregg | Jon Niese | Jason Johnson | Jake Peavy | Ryan Dempster | Alan Embree | Mark Mulder | Mark Redman | Kirk Saarloos | Ron Mahay | A.J. Burnett | Zack Greinke | Joe Kennedy | Huston Street | Scott Downs | Felix Hernandez | Tim Lincecum | Kevin Correia | Joe Mays | Jorge Sosa | Livan Hernandez | Andrew Miller | Jarrod Parker | Jerome Williams | Damaso Marte | Jair Jurrjens |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Team | NY-N | STL |  | SF | KC |  | OAK |  | NY-A | MIA |  | TOR | MIN |  | KC | ANA | PHI | MIL | MIN |  | TOR |  |  | DET |  |  |  |  |  | COL |  | MIL |  |  |  |  |  |  | DET |  | SD |  |  | SEA | PIT |  |  |  | CLE |  | SEA | ANA | MIN |  |  |  | AZ |  | SD |  | BOS |  | CHI-N | SF |  | BAL |  |  | LA |  | LA | HOU | SD |  | TOR |  | NY-N |  | SF |  |  |  |  |  |  | PIT | LA |  | ANA |  | SEA | SF | PHI |  |  |  | NY-A | OAK | PHI |  | COL |
| AB | 63 | 60 | 59 | 58 | 55 | 54 | 52 | 48 | 45 | 44 | 44 | 42 | 38 | 38 | 37 | 36 | 36 | 36 | 36 | 35 | 33 | 33 | 33 | 33 | 32 | 32 | 32 | 31 | 31 | 30 | 30 | 30 | 29 | 29 | 29 | 29 | 29 | 29 | 28 | 28 | 27 | 27 | 26 | 26 | 25 | 25 | 24 | 24 | 24 | 24 | 23 | 23 | 22 | 22 | 22 | 21 | 21 | 21 | 21 | 21 | 21 | 21 | 20 | 20 | 20 | 20 | 20 | 20 | 19 | 19 | 19 | 19 | 19 | 19 | 19 | 19 | 19 | 19 | 18 | 18 | 18 | 18 | 18 | 18 | 18 | 17 | 17 | 17 | 17 | 17 | 17 | 17 | 16 | 16 | 16 | 16 | 16 | 16 | 16 | 16 | 16 |
| H | 17 | 23 | 19 | 18 | 15 | 19 | 10 | 17 | 14 | 12 | 7 | 14 | 12 | 11 | 10 | 15 | 9 | 9 | 9 | 6 | 12 | 11 | 9 | 4 | 12 | 11 | 10 | 13 | 10 | 14 | 9 | 7 | 16 | 11 | 9 | 8 | 7 | 5 | 7 | 5 | 6 | 5 | 14 | 6 | 12 | 6 | 11 | 9 | 7 | 5 | 8 | 3 | 6 | 4 | 3 | 9 | 8 | 7 | 6 | 5 | 4 | 2 | 5 | 5 | 5 | 5 | 4 | 3 | 8 | 8 | 7 | 6 | 5 | 5 | 5 | 4 | 4 | 3 | 7 | 5 | 5 | 5 | 5 | 4 | 3 | 5 | 5 | 5 | 4 | 3 | 2 | 1 | 7 | 6 | 6 | 5 | 5 | 5 | 5 | 4 | 3 |
| 2B | 3 | 5 | 5 | 7 | 3 | 7 | 2 | 1 | 2 | 5 | 0 | 3 | 1 | 4 | 1 | 3 | 3 | 0 | 3 | 1 | 0 | 1 | 4 | 1 | 1 | 2 | 2 | 3 | 5 | 2 | 2 | 0 | 3 | 3 | 3 | 2 | 2 | 2 | 3 | 1 | 3 | 1 | 1 | 2 | 0 | 1 | 1 | 2 | 1 | 2 | 1 | 1 | 1 | 1 | 1 | 5 | 1 | 2 | 2 | 0 | 2 | 1 | 1 | 2 | 2 | 2 | 0 | 1 | 1 | 0 | 2 | 2 | 1 | 1 | 3 | 0 | 0 | 0 | 3 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 2 | 0 | 1 | 1 | 0 | 0 | 3 | 0 | 2 | 1 | 2 | 0 | 1 | 0 | 1 |
| 3B | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 |
| HR | 1 | 1 | 2 | 1 | 1 | 1 | 2 | 2 | 3 | 1 | 2 | 1 | 1 | 1 | 1 | 4 | 0 | 3 | 2 | 2 | 3 | 2 | 2 | 0 | 4 | 0 | 2 | 1 | 3 | 2 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 1 | 1 | 1 | 2 | 0 | 2 | 1 | 3 | 1 | 1 | 2 | 1 | 1 | 2 | 1 | 0 | 2 | 0 | 1 | 0 | 1 | 1 | 2 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 0 | 2 | 0 | 1 | 1 | 0 | 0 | 1 | 2 | 1 | 0 | 2 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 2 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 2 | 1 | 0 | 1 |
| RBI | 6 | 9 | 9 | 7 | 9 | 10 | 12 | 10 | 12 | 6 | 7 | 5 | 8 | 6 | 4 | 7 | 2 | 9 | 7 | 5 | 6 | 5 | 6 | 2 | 8 | 4 | 6 | 6 | 10 | 6 | 1 | 3 | 9 | 6 | 5 | 1 | 2 | 2 | 6 | 3 | 7 | 1 | 8 | 5 | 10 | 4 | 7 | 8 | 2 | 6 | 6 | 3 | 0 | 5 | 1 | 5 | 6 | 4 | 8 | 9 | 2 | 0 | 1 | 2 | 2 | 4 | 1 | 0 | 4 | 2 | 8 | 2 | 0 | 1 | 3 | 3 | 1 | 0 | 9 | 1 | 1 | 0 | 3 | 4 | 1 | 4 | 2 | 7 | 2 | 1 | 3 | 0 | 5 | 4 | 5 | 1 | 4 | 4 | 4 | 0 | 2 |
| BB | 5 | 5 | 4 | 4 | 3 | 6 | 0 | 2 | 3 | 3 | 2 | 2 | 1 | 6 | 3 | 6 | 1 | 4 | 7 | 2 | 2 | 5 | 1 | 4 | 3 | 3 | 3 | 1 | 4 | 1 | 4 | 1 | 4 | 1 | 2 | 5 | 2 | 1 | 3 | 0 | 5 | 0 | 0 | 1 | 2 | 2 | 0 | 1 | 1 | 4 | 1 | 3 | 0 | 2 | 0 | 1 | 3 | 1 | 5 | 0 | 0 | 0 | 1 | 2 | 1 | 1 | 1 | 0 | 2 | 1 | 3 | 3 | 0 | 1 | 1 | 3 | 1 | 1 | 2 | 0 | 0 | 2 | 1 | 2 | 0 | 4 | 0 | 2 | 1 | 3 | 1 | 1 | 2 | 0 | 0 | 4 | 5 | 1 | 0 | 0 | 5 |
| K | 11 | 5 | 5 | 7 | 9 | 8 | 8 | 13 | 11 | 14 | 3 | 6 | 9 | 8 | 8 | 6 | 10 | 6 | 6 | 4 | 2 | 5 | 3 | 6 | 6 | 2 | 6 | 4 | 5 | 8 | 4 | 12 | 1 | 7 | 1 | 4 | 5 | 6 | 6 | 9 | 3 | 6 | 1 | 4 | 1 | 4 | 4 | 2 | 4 | 3 | 2 | 9 | 3 | 2 | 3 | 3 | 2 | 2 | 2 | 4 | 3 | 1 | 4 | 3 | 6 | 2 | 4 | 3 | 1 | 2 | 5 | 5 | 6 | 1 | 4 | 1 | 5 | 0 | 1 | 4 | 3 | 3 | 5 | 4 | 8 | 4 | 2 | 3 | 4 | 4 | 8 | 6 | 3 | 1 | 1 | 2 | 4 | 3 | 4 | 4 | 3 |
