# UK General Elections and Winning Leaders (20th–21st Century Snapshot)

| General election year | Winning party | Leader at election | Result (seats) | Vote share (winner) | Prime Minister after election |
|---|---|---|---|---|---|
| 1945 | Labour | Clement Attlee | Majority | ~48% | Clement Attlee |
| 1951 | Conservative | Winston Churchill | Majority | ~48% | Winston Churchill |
| 1964 | Labour | Harold Wilson | Small majority | ~44% | Harold Wilson |
| 1970 | Conservative | Edward Heath | Majority | ~46% | Edward Heath |
| 1979 | Conservative | Margaret Thatcher | Majority | ~44% | Margaret Thatcher |
| 1997 | Labour | Tony Blair | Landslide | ~43% | Tony Blair |
| 2010 | Conservative | David Cameron | Hung parliament | ~36% | David Cameron |
| 2015 | Conservative | David Cameron | Majority | ~37% | David Cameron |
| 2019 | Conservative | Boris Johnson | Majority | ~44% | Boris Johnson |
