# Doctrinal Comparison of Major World Religions (Beliefs and Theology Focus)

| Religion | View of God/Ultimate Reality | Sacred Texts (examples) | Afterlife Belief | Salvation/Liberation Path | Core Ethical Emphasis | Typical Worship Practices | Notes |
|---|---|---|---|---|---|---|---|
| Christianity | Monotheism (Trinity in many traditions) | Bible | Heaven/Hell (varies) | Faith in Christ, grace, sacraments (varies) | Love, charity, forgiveness | Prayer, liturgy, sacraments | Many denominations worldwide |
| Islam | Strict monotheism (Tawhid) | Qur'an, Hadith | Paradise/Hell | Submission to God, five pillars | Justice, mercy, community duties | Salah, fasting, pilgrimage | Sunni/Shia traditions |
| Hinduism | Many theologies (monism, polytheism, etc.) | Vedas, Upanishads, Gita | Rebirth, moksha | Bhakti, jnana, karma yoga | Dharma, non-harm | Puja, festivals, meditation | Diverse schools |
| Buddhism | Non-theistic (varies by school) | Tripitaka, sutras | Rebirth, nirvana | Eightfold Path | Compassion, mindfulness | Meditation, chanting | Theravada/Mahayana/Vajrayana |
| Judaism | Monotheism | Torah, Tanakh, Talmud | Varied | Covenant, law, repentance | Justice, holiness | Prayer, Sabbath, festivals | Multiple movements |
| Sikhism | Monotheism | Guru Granth Sahib | Rebirth, liberation | Naam simran, seva, righteous living | Equality, service | Kirtan, gurdwara worship | Founded in Punjab |
| Shinto | Kami-centered traditions | Kojiki, Nihon Shoki (historical) | Varied | Ritual purity, harmony | Purity, respect | Shrine rituals, festivals | Often syncretic with Buddhism |
| Bahá’í Faith | Monotheism | Writings of Bahá’u’lláh | Spiritual continuation | Unity, moral development | Unity, peace | Prayer, community gatherings | Global but smaller |
| Jainism | Non-theistic (tirthankaras revered) | Agamas (varies) | Rebirth, liberation | Ahimsa, ascetic practice | Non-violence | Meditation, vows | Strong dietary ethics |
