# Science Discovery News Sources and Portals (Websites & Journals)

| Source type | Name | Focus area | Example recent headline/topic | Access model | Typical update frequency | Notes |
| --- | --- | --- | --- | --- | --- | --- |
| News website | Futurity | University research highlights | "New catalyst improves CO2 conversion" | Free | Daily | Aggregates press releases from partner universities |
| Professional association | American Psychological Association (APA) | Psychology research & practice | "Study links sleep and memory consolidation" | Mixed | Weekly | Emphasizes peer-reviewed psychology findings |
| Magazine | Scientific American | General science | "AI models predict protein folding" | Subscription | Monthly | Long-form explainers; not a primary research venue |
| Magazine | Popular Science | Consumer science/tech | "Best home telescopes for 2026" | Mixed | Weekly | Product and culture coverage alongside science |
| Journal publisher | Nature Portfolio | Multidisciplinary science | "Gene editing milestone" | Subscription | Weekly | Primary research + commentary |
| Preprint server | arXiv | Physics/CS/math | "New transformer architecture" | Free | Daily | Not peer-reviewed; rapid dissemination |
| Preprint server | bioRxiv | Biology | "Novel virus entry mechanism" | Free | Daily | Screening only; later may appear in journals |
| Database | PubMed | Biomedicine | "Meta-analysis on CRISPR safety" | Free | Daily | Indexing service; not a news outlet |
| University office | MIT News | University research | "Battery breakthrough" | Free | Several/week | Institutional communications |
| Podcast | Science Vs | Science myths & evidence | "Does cold plunge work?" | Free | Weekly | Audio format; not itemized discovery catalog |
