# External Desktop Drive Models with Discrete Capacity Options (Exact SKUs)

| Category | Brand | Model | Power | Interface | Exact Capacity SKUs Available | Target Use |
| --- | --- | --- | --- | --- | --- | --- |
| Desktop HDD | Western Digital | Elements Desktop | External AC | USB 3.0 | 4 TB; 6 TB; 8 TB; 10 TB; 12 TB; 14 TB; 16 TB; 18 TB | Bulk storage and backups |
| Desktop HDD | Western Digital | My Book | External AC | USB 3.0 | 4 TB; 6 TB; 8 TB; 12 TB; 14 TB; 16 TB; 18 TB | Backup-focused desktop drive |
| Desktop HDD | Seagate | Expansion Desktop | External AC | USB 3.0 | 4 TB; 6 TB; 8 TB; 10 TB; 12 TB; 14 TB; 16 TB; 18 TB | General-purpose desktop storage |
| Desktop HDD | Seagate | Backup Plus Hub | External AC | USB 3.0 | 6 TB; 8 TB; 10 TB; 12 TB; 14 TB | Desktop drive with front USB ports |
| Desktop HDD | Toshiba | Canvio Desk | External AC | USB 3.0 | 4 TB; 6 TB; 8 TB | Home/office desktop storage |
| Desktop HDD | LaCie | d2 Professional | External AC | USB-C (USB 3.1) | 4 TB; 8 TB; 10 TB; 14 TB; 18 TB | Creative workflows (desktop HDD) |
| Desktop SSD | Samsung | T5 EVO (high-capacity portable) | Bus-powered | USB 3.2 Gen 1 (USB-C) | 2 TB; 4 TB; 8 TB | High-capacity external solid-state option |
| Desktop SSD | SanDisk Professional | G-DRIVE SSD | External AC (varies by bundle) | Thunderbolt 3 / USB-C | 1 TB; 2 TB; 4 TB; 8 TB | High-performance external SSD |
| Desktop HDD | Glyph | Blackbox Plus | External AC | USB-C | 4 TB; 6 TB; 8 TB; 12 TB; 16 TB | Pro-oriented external HDD |
