# Global Religions by Country  Moral Evaluation and Social Judgments (Selected States)

| Region | Country | Dominant Religion | Minority Religions (examples) | "Moral Score" of Dominant Faith (1-10) | Perceived Tolerance (Low/Med/High) | "Extremism Risk" (Low/Med/High) | Narrative Summary |
|---|---|---|---|---:|---|---|---|
| Europe | France | Christianity | Islam, Judaism, null | 7 | High | Low | Often described as secular-leaning with active debates on religious symbols |
| Europe | Poland | Christianity | null, Judaism | 9 | Med | Low | Frequently portrayed as tradition-oriented and socially conservative |
| Middle East | Iran | Islam | Christianity, Zoroastrianism | 6 | Low | High | Commonly framed through political theology and clerical authority |
| South Asia | India | Hinduism | Islam, Christianity, Sikhism | 8 | Med | Med | Widely discussed as pluralistic but contested in practice |
| East Asia | Japan | Shinto/Buddhism | Christianity, null | 7 | High | Low | Often characterized as syncretic with low institutional participation |
| North America | United States | Christianity | null, Judaism, Islam | 8 | High | Med | Portrayed as diverse with strong public religion in some regions |
| Africa | Nigeria | Christianity/Islam | Traditional religions | 6 | Low | High | Regularly narrated in terms of interfaith tension in certain areas |
| Latin America | Brazil | Christianity | Spiritism, null | 7 | High | Low | Commonly described as charismatic and culturally embedded |
| Oceania | Australia | Christianity/null | Islam, Buddhism | 7 | High | Low | Often labeled as liberal with growing religious diversity |
