# Food Opinions by Restaurant (Customer Sentiment Summary)

| Restaurant | Cuisine | Highlighted Food | Food Type | Customer Opinion | Typical Comment |
|---|---|---|---|---|---|
| Bella Napoli | Italian | Margherita pizza | Prepared food | Positive | "Crispy crust and fresh basil" |
| Sakura House | Japanese | Salmon nigiri | Prepared food | Mixed | "Great fish, small portions" |
| Taco Plaza | Mexican | Carnitas taco | Prepared food | Positive | "Fast and flavorful" |
| Green Bowl | Vegan | Quinoa salad | Salad | Positive | "Healthy and filling" |
| Smoke & Barrel | BBQ | Pulled pork | Prepared food | Negative | "Too salty" |
| Sunny Bakery | Bakery | Croissant | Pastry | Positive | "Buttery and flaky" |
| Curry Corner | Indian | Chicken tikka masala | Prepared food | Mixed | "Sauce is great, spice varies" |
| Pho 88 | Vietnamese | Beef pho | Soup | Positive | "Rich broth" |
| Dairy Delight | Dessert shop | Soft-serve cone | Dessert | Mixed | "Good but melts quickly" |
| Ocean Grill | Seafood | Fish and chips | Prepared food | Negative | "Breading felt greasy" |
