# Broadway Musicals — Original Broadway Production Directors (Selected Shows)

| Musical (Broadway) | Broadway Production Type | Broadway Opening Year | Director(s) (Broadway) |
|---|---|---:|---|
| Hamilton | Original Broadway production | 2015 | Thomas Kail |
| The Book of Mormon | Original Broadway production | 2011 | Casey Nicholaw, Trey Parker |
| Wicked | Original Broadway production | 2003 | Joe Mantello |
| The Producers | Original Broadway production | 2001 | Susan Stroman |
| Rent | Original Broadway production | 1996 | Michael Greif |
| Les Misérables | Original Broadway production | 1987 | Trevor Nunn, John Caird |
| Cats | Original Broadway production | 1982 | Trevor Nunn |
| A Chorus Line | Original Broadway production | 1975 | Michael Bennett |
| Fiddler on the Roof | Original Broadway production | 1964 | Jerome Robbins |
| West Side Story | Original Broadway production | 1957 | Jerome Robbins |
| My Fair Lady | Original Broadway production | 1956 | Moss Hart |
| Oklahoma! | Original Broadway production | 1943 | Rouben Mamoulian |
| Porgy and Bess | Original Broadway production | 1935 | Rouben Mamoulian |
