# Fightin Phillies - blogging Phillies baseball: Lidge is broken, Phils lose again to Washington

| Split | Pittsburgh Pirates | New York Yankees | Inter-League | Toronto Blue Jays | Los Angeles Dodgers | San Diego Padres | Chicago Cubs | Milwaukee Brewers | Houston Astros | Florida Marlins | WP lt .500 | Cincinnati Reds | WP of .500+ | Washington Nationals | San Francisco Giants | St. Louis Cardinals | Atlanta Braves | New York Mets | Arizona Diamondbacks | Colorado Rockies |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| G | 2 | 2 | 4 | 2 | 4 | 3 | 3 | 2 | 3 | 7 | 34 | 3 | 33 | 10 | 1 | 2 | 10 | 7 | 2 | 4 |
| AB | 7 | 9 | 15 | 6 | 19 | 12 | 9 | 9 | 9 | 23 | 119 | 10 | 120 | 34 | 4 | 8 | 34 | 25 | 7 | 14 |
| R | 4 | 4 | 6 | 2 | 5 | 4 | 3 | 1 | 2 | 6 | 24 | 1 | 27 | 5 | 0 | 1 | 8 | 3 | 2 | 0 |
| H | 5 | 5 | 8 | 3 | 8 | 5 | 3 | 3 | 3 | 7 | 36 | 3 | 36 | 9 | 1 | 2 | 8 | 4 | 1 | 2 |
| 2B | 0 | 0 | 1 | 1 | 2 | 1 | 0 | 0 | 0 | 3 | 4 | 1 | 8 | 1 | 0 | 1 | 2 | 0 | 0 | 0 |
| 3B | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 |
| HR | 2 | 1 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 1 | 5 | 0 | 6 | 1 | 0 | 1 | 2 | 0 | 1 | 0 |
| SB | 0 | 4 | 4 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 3 | 0 | 8 | 0 | 2 | 0 | 1 | 1 | 1 | 0 |
| CS | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
| BB | 0 | 1 | 4 | 3 | 1 | 2 | 3 | 0 | 2 | 6 | 15 | 3 | 19 | 2 | 1 | 0 | 6 | 2 | 1 | 1 |
| SO | 2 | 2 | 2 | 0 | 3 | 1 | 3 | 2 | 1 | 6 | 29 | 3 | 32 | 10 | 1 | 2 | 11 | 9 | 1 | 4 |
| SO/BB |  | 2.00 | 0.50 | 0.00 | 3.00 | 0.50 | 1.00 |  | 0.50 | 1.00 | 1.93 | 1.00 | 1.68 | 5.00 | 1.00 |  | 1.83 | 4.50 | 1.00 | 4.00 |
| BA ▾ | .714 | .556 | .533 | .500 | .421 | .417 | .333 | .333 | .333 | .304 | .303 | .300 | .300 | .265 | .250 | .250 | .235 | .160 | .143 | .143 |
