# Stocks - Hot Stocks | Hot Stocks Gainers

| Sym | TIS | WTT | GIG | IMH | GSB | APT | IMO | BPMX | MDGN | VNRX | LNG | HLTH | BTI | NVG | CAW | INTT | INFU | EMAN | ESBA | CRMD | OGEN | ERH | EIM | DHY | LEI | NHC-A | BLE | NBH | RWC | BTX | EIV | RIC | ORM | CMT | UUU | MLSS | CIK | SIF | HCHC | BTN | STS | NHC | GLV | KIQ | LTS-A | NBW | BVX | ADK | JRS | NHS | FPI | CTO | NSU | RVP | PTNQ | TAT | FAX | MVG | TMP | ADK-A | CCF | CLM | NXZ | GORO | GSAT | PTMC | GST-A | NZF | LOV | FEN | UTG | VSR | CET | FRD | PTLC | VHC | EVJ | CRF | BFY | NTIP | TXMD | GGN-B | ECF | NMZ | CRV | DMF | HNW | MVF | EAD | IAF | IDI | PFNX | EVM | VMM | LTS | ESTE | GRC | IG | CVU | IRT |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Name | Orchids Paper Products Company | Wireless Telecom Group Inc | Gigoptix Inc | Impac Mortgage Holdings | Globalscape | Alpha Pro Tech | Imperial Oil Limited | Biopharmx Corporatio | Medgenics Inc. Common Stock | Volitionrx Ltd | Cheniere Energy | Nobilis Health Corp. | British American Tobacco Industries | Nuveen Insured Divadv Fund | CCA Industries | Intest Corp | Infusystems Holdings | Emagin Corp | Empire State Realty Op L.P. | Cormedix Inc | Oragenics Inc | Wells Fargo Advantage Utilities and High | Eaton Vance Muni Bond Fund | Credit Suisse High Yield Bond Fund | Lucas Energy | National Hlthcare Sr | Blackrock Muni Income Trust II | Neuberger Berman Intermediate Fund Inc | Relm Wireless Corp | Biotime Inc | Eaton Vance Muni Bond Fund II | Richmont Mines | Owens Realty Mortgage Inc. Com | Core Molding Technologies Inc | Universal Security Instruments | Milestone Scientific | Credit Suisse Asset Management | Sifco Industries | Hc2 Holdings Inc. | Ballantyne Strong Inc | Supreme Industries | National Healthcare Corp | Clough Global Allocation Fund | Kelso Technologies I | Ladenburg Thalmann Financial Se | Neuberger Berman California Intermediate | Bovie Medical Corp | Adcare Health Systems Inc | Nuveen Real Estate Fund | Neuberger Berman High Yield Strategies | Farmland Partners Inc. | Consolidated-Tomoka Land Co. | Nevsun Resources Ltd | Retractable Technologies | Pacer Trendpilot 100 ETF | Transatlantic Petroleum Ltd | Aberdeen Asia-Pacific | Mag Silver Corp | Tompkinstrustco | Adcare Health Systems Inc 10.87 | Chase Corp | Cornerstone Strategic Value Fund | Nuveen Divadv Fund 2 | Gold Resource Corp | Globalstar | Pacer Trendpilot 450 ETF | Gastar Exploration 8.625% Serie | Nuveen Divadv Fund 3 | Spark Networks Plc | Energy Income and Growth Fund | Reaves Utility | Versar Inc | Central Securities Corp | Friedman Industries Inc | Pacer Trendpilot 750 ETF | Virnetx Holding Corp | Eaton Vance New Jersey Muni Income Trust | Cornerstone Strategic Return Fund | Blackrock New York Muni Trust II | Network-1 Sec Solu | Therapeuticsmd Inc | Gamco Global Gold Natural Reou | Ellsworth Convertible Growth and Income | Nuveen Muni High Income Opportunity | Coast Distribution System | Dreyfus Muni Income | Pioneer Diversified High Income Trust | Munivest Fund | Wells Fargo Advantage | Aberdeen Australia Equity Fund Inc | Tiger Media Inc. | Pfenex Inc. | Eaton Vance California Muni Bond Fund | Delaware Minnesota Muni II | Ladenburg Thalmann Financial Inc | Earthstone Energy | Gorman-Rupp Company | IGI Laboratories | CPI Aerostructures | Independence Realty Trust Inc |
| Std Dev | +3.61 | +3.37 | +3.23 | +2.74 | +2.48 | +2.30 | +2.28 | +1.87 | +1.68 | +1.44 | +1.43 | +1.36 | +1.31 | +1.30 | +1.26 | +1.25 | +1.18 | +1.08 | +1.02 | +0.99 | +0.96 | +0.90 | +0.84 | +0.84 | +0.74 | +0.72 | +0.71 | +0.70 | +0.69 | +0.67 | +0.66 | +0.62 | +0.58 | +0.56 | +0.52 | +0.52 | +0.51 | +0.50 | +0.50 | +0.48 | +0.47 | +0.46 | +0.45 | +0.44 | +0.44 | +0.44 | +0.42 | +0.42 | +0.38 | +0.38 | +0.36 | +0.36 | +0.36 | +0.35 | +0.34 | +0.34 | +0.32 | +0.30 | +0.30 | +0.29 | +0.27 | +0.27 | +0.26 | +0.26 | +0.25 | +0.21 | +0.21 | +0.21 | +0.20 | +0.19 | +0.18 | +0.17 | +0.15 | +0.13 | +0.11 | +0.09 | +0.09 | +0.08 | +0.06 | +0.06 | +0.05 | +0.05 | unch | unch | unch | unch | unch | unch | unch | unch | unch | unch | unch | unch | unch | -0.02 | -0.04 | -0.05 | -0.05 | -0.05 |
| Last | 25.75 | 2.13 | 2.23 | 24.08 | 3.34 | 2.17 | 37.23 | 2.27 | 8.25 | 3.60 | 70.16 | 5.92 | 116.79 | 13.82 | 2.61 | 4.29 | 3.16 | 2.79 | 17.41 | 3.50 | 2.22 | 11.35 | 12.31 | 2.50 | 2.10 | 15.50 | 14.16 | 15.05 | 3.44 | 3.23 | 12.48 | 2.60 | 14.75 | 0.00 | 6.00 | 3.27 | 3.01 | 13.73 | 7.16 | 4.62 | 8.27 | 62.42 | 15.01 | 2.59 | 24.75 | 14.49 | 2.14 | 3.78 | 10.61 | 11.25 | 10.90 | 57.62 | 3.43 | 3.90 | 25.64 | 3.06 | 4.71 | 6.98 | 53.26 | 24.81 | 37.86 | 19.01 | 13.56 | 2.23 | 2.13 | 24.56 | 16.23 | 13.61 | 3.06 | 28.99 | 29.29 | 3.43 | 20.84 | 5.81 | 25.06 | 4.50 | 12.13 | 19.10 | 14.76 | 2.15 | 7.61 | 20.91 | 8.79 | 13.38 | 5.47 | 8.94 | 15.89 | 9.50 | 8.07 | 6.14 | 10.45 | 21.19 | 11.36 | 13.20 | 2.94 | 18.13 | 24.59 | 8.72 | 8.97 | 8.14 |
| Change | +2.22 | +0.08 | +0.32 | +2.24 | +0.16 | +0.06 | +1.22 | +0.21 | +0.44 | +0.10 | +2.07 | +0.24 | +1.90 | +0.03 | +0.11 | +0.10 | +0.06 | +0.08 | +0.15 | +0.27 | +0.19 | +0.08 | +0.06 | +0.02 | +0.23 | +0.10 | +0.05 | +0.07 | +0.07 | +0.08 | +0.06 | +0.05 | +0.14 | +0.36 | +0.08 | +0.07 | +0.01 | +0.20 | +0.09 | +0.03 | +0.09 | +0.38 | +0.06 | +0.04 | +0.05 | +0.04 | +0.03 | +0.04 | +0.03 | +0.03 | +0.10 | +0.28 | +0.02 | +0.02 | +0.08 | +0.07 | +0.01 | +0.07 | +0.16 | +0.06 | +0.19 | +0.10 | +0.01 | +0.03 | +0.02 | +0.04 | +0.18 | +0.01 | +0.01 | +0.10 | +0.04 | +0.02 | +0.02 | +0.01 | +0.02 | +0.01 | +0.01 | +0.07 | +0.01 | +0.01 | +0.01 | +0.01 | unch | unch | unch | unch | unch | unch | unch | unch | unch | unch | unch | unch | unch | -0.01 | -0.02 | -0.02 | -0.01 | -0.01 |
| Percent | +9.43% | +3.90% | +16.75% | +10.26% | +5.03% | +2.84% | +3.39% | +10.19% | +5.63% | +2.86% | +3.04% | +4.23% | +1.65% | +0.22% | +4.40% | +2.39% | +1.94% | +2.95% | +0.87% | +8.36% | +9.36% | +0.71% | +0.49% | +0.81% | +12.30% | +0.65% | +0.35% | +0.47% | +2.08% | +2.54% | +0.48% | +1.96% | +0.96% | +1.87% | +1.35% | +2.19% | +0.33% | +1.48% | +1.27% | +0.65% | +1.10% | +0.61% | +0.40% | +1.57% | +0.20% | +0.28% | +1.42% | +1.07% | +0.28% | +0.27% | +0.93% | +0.49% | +0.59% | +0.52% | +0.31% | +2.34% | +0.21% | +1.01% | +0.30% | +0.24% | +0.50% | +0.53% | +0.07% | +1.36% | +0.95% | +0.16% | +1.12% | +0.07% | +0.33% | +0.35% | +0.14% | +0.59% | +0.10% | +0.17% | +0.08% | +0.22% | +0.08% | +0.37% | +0.07% | +0.47% | +0.13% | +0.05% | unch | unch | unch | unch | unch | unch | unch | unch | unch | unch | unch | unch | unch | -0.06% | -0.08% | -0.23% | -0.11% | -0.12% |
| High | 26.38 | 2.14 | 2.23 | 24.44 | 3.42 | 2.18 | 37.33 | 2.34 | 8.32 | 3.65 | 70.39 | 6.03 | 117.04 | 13.84 | 2.61 | 4.32 | 3.20 | 2.79 | 17.70 | 3.51 | 2.29 | 11.39 | 12.31 | 2.50 | 2.10 | 15.59 | 14.17 | 15.08 | 3.54 | 3.24 | 12.57 | 2.64 | 14.84 | 19.61 | 6.00 | 3.45 | 3.03 | 14.00 | 7.24 | 4.63 | 8.38 | 63.03 | 15.17 | 2.62 | 24.75 | 14.53 | 2.14 | 3.79 | 10.62 | 11.25 | 10.94 | 58.63 | 3.46 | 3.90 | 25.66 | 3.15 | 4.72 | 7.10 | 53.49 | 25.00 | 38.35 | 19.03 | 13.57 | 2.25 | 2.25 | 24.57 | 16.55 | 13.64 | 3.06 | 28.99 | 29.51 | 3.49 | 20.84 | 5.85 | 25.08 | 4.53 | 12.32 | 19.15 | 14.85 | 2.19 | 7.73 | 20.91 | 9.05 | 13.40 | 5.47 | 8.94 | 16.00 | 9.52 | 8.11 | 6.16 | 10.95 | 22.75 | 11.36 | 13.23 | 3.01 | 18.82 | 24.74 | 8.87 | 9.00 | 8.20 |
| Low | 24.29 | 2.05 | 1.85 | 21.71 | 3.19 | 2.11 | 35.95 | 2.10 | 7.58 | 3.48 | 66.96 | 5.69 | 116.18 | 13.78 | 2.55 | 4.23 | 3.14 | 2.68 | 17.21 | 3.20 | 2.03 | 11.26 | 12.25 | 2.47 | 1.65 | 15.32 | 14.12 | 14.98 | 3.40 | 3.10 | 12.45 | 2.52 | 14.66 | 18.95 | 5.92 | 2.90 | 2.98 | 13.55 | 6.88 | 4.57 | 8.15 | 61.66 | 14.95 | 2.54 | 24.57 | 14.42 | 2.10 | 3.73 | 10.56 | 11.21 | 10.76 | 57.47 | 3.34 | 3.82 | 25.38 | 2.98 | 4.68 | 6.79 | 52.89 | 24.76 | 37.33 | 18.80 | 13.52 | 2.15 | 2.09 | 24.35 | 15.65 | 13.54 | 3.02 | 28.62 | 29.11 | 3.35 | 20.53 | 5.77 | 24.90 | 4.29 | 12.12 | 18.96 | 14.73 | 2.13 | 7.37 | 20.82 | 8.69 | 13.34 | 5.47 | 8.89 | 15.80 | 9.47 | 8.03 | 6.12 | 10.18 | 20.41 | 11.28 | 13.09 | 2.93 | 17.41 | 24.05 | 8.51 | 8.97 | 7.95 |
| Time | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 | 07/30/15 |
| Links |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
