# Beijing 2008 Olympics — Swimming Gold Medal Winners (Selected Pool Events)

| Sport | Discipline | Event | Gender | Gold medalist / Team | Country | Notes |
|---|---|---|---|---|---|---|
| Swimming | Pool | 100 m freestyle | Men | Alain Bernard | France | Individual |
| Swimming | Pool | 200 m freestyle | Men | Park Tae-hwan | South Korea | Individual |
| Swimming | Pool | 400 m freestyle | Men | Park Tae-hwan | South Korea | Individual |
| Swimming | Pool | 100 m butterfly | Men | Michael Phelps | United States | Individual |
| Swimming | Pool | 200 m butterfly | Men | Michael Phelps | United States | Individual |
| Swimming | Pool | 200 m individual medley | Men | Michael Phelps | United States | Individual |
| Swimming | Pool | 400 m individual medley | Men | Michael Phelps | United States | Individual |
| Swimming | Pool | 100 m backstroke | Men | Aaron Peirsol | United States | Individual |
| Swimming | Pool | 200 m backstroke | Men | Ryan Lochte | United States | Individual |
| Swimming | Pool | 4×100 m freestyle relay | Men | United States (team) | United States | Relay |
| Swimming | Pool | 4×200 m freestyle relay | Men | United States (team) | United States | Relay |
| Swimming | Pool | 4×100 m medley relay | Men | United States (team) | United States | Relay |
| Swimming | Pool | 100 m freestyle | Women | Britta Steffen | Germany | Individual |
| Swimming | Pool | 200 m breaststroke | Women | Rebecca Soni | United States | Individual |
