# Most Populous U.S. Cities by State (Population Included; Capital Not Explicitly Marked)

| State | City | 2020 Population | Rank within State |
|---|---|---:|---:|
| California | Los Angeles | 3,898,747 | 1 |
| California | San Diego | 1,386,932 | 2 |
| Texas | Houston | 2,304,580 | 1 |
| Texas | San Antonio | 1,434,625 | 2 |
| Florida | Jacksonville | 949,611 | 1 |
| Florida | Miami | 442,241 | 2 |
| Illinois | Chicago | 2,746,388 | 1 |
| Illinois | Aurora | 180,542 | 2 |
| Arizona | Phoenix | 1,608,139 | 1 |
| Arizona | Tucson | 542,629 | 2 |
| New York | New York City | 8,804,190 | 1 |
| New York | Buffalo | 278,349 | 2 |
