# Major Archaeological and Paleontological Finds (Exact Discovery Years Listed)

| Find/Discovery | Exact Discovery Year | Site | Discipline | What Was Found | Key Context |
| --- | --- | --- | --- | --- | --- |
| Lucy (Australopithecus afarensis) | 1974 | Hadar, Ethiopia | Paleoanthropology | Partial skeleton | Supported bipedalism before brain expansion |
| Homo floresiensis ('hobbit') | 2003 | Liang Bua, Flores | Paleoanthropology | Hominin remains | Suggested diverse recent hominins |
| Denisovan genome identification | 2010 | Denisova Cave, Siberia | Paleogenetics | Ancient DNA from finger bone | Revealed new archaic human group |
| Chauvet Cave paintings | 1994 | Ardèche, France | Archaeology | Paleolithic art | Early symbolic expression evidence |
| Ötzi the Iceman | 1991 | Ötztal Alps | Archaeology | Mummified body | Snapshot of Copper Age life |
| Gobekli Tepe monumental site | 1994 | Şanlıurfa, Turkey | Archaeology | Megalithic enclosures | Ritual architecture before agriculture |
| Sue (T. rex) | 1990 | South Dakota, USA | Paleontology | Large T. rex skeleton | Improved understanding of theropods |
| Tiktaalik roseae | 2004 | Ellesmere Island, Canada | Paleontology | Transitional fossil | Clarified fish-to-tetrapod transition |
| Burgess Shale soft-bodied fauna | 1909 | British Columbia, Canada | Paleontology | Cambrian fossils | Expanded view of early animal diversity |
| Peking Man major excavations | 1929 | Zhoukoudian, China | Paleoanthropology | Homo erectus fossils | Key evidence for early humans in East Asia |
