# Disease Course Overview  Incubation, Symptom Onset, and Treatment Milestones for Selected Zoonoses

| Disease | Incubation range | Early clinical presentation | Later clinical presentation | Recommended first-line treatment | Case-fatality (approx.) |
| --- | --- | --- | --- | --- | --- |
| Rabies | Weeks–months | Fever, paresthesia near exposure site | Hydrophobia, agitation, coma | Supportive care; PEP before symptoms | ~100% once symptomatic |
| Anthrax (inhalational) | 1–7 days (can be longer) | Flu-like illness | Mediastinitis, respiratory failure | IV antibiotics + antitoxin | High without early treatment |
| Brucellosis | 1–4 weeks | Fever, sweats, arthralgia | Chronic fatigue, focal infection | Doxycycline + rifampin | Low with treatment |
| Leptospirosis | 2–30 days | Fever, headache, myalgia | Jaundice, renal failure | Doxycycline/penicillin | Variable |
| Ebola virus disease | 2–21 days | Fever, weakness, GI symptoms | Hemorrhage, shock | Supportive + antivirals where available | High in outbreaks |
| Plague | 1–7 days | Fever, painful lymph nodes (buboes) | Sepsis, pneumonia | Gentamicin/streptomycin | High if untreated |
| Hantavirus pulmonary syndrome | 1–8 weeks | Fever, myalgia | Pulmonary edema, hypoxia | ICU supportive care | High |
| Q fever | 2–3 weeks | Fever, severe headache | Hepatitis/endocarditis (chronic) | Doxycycline | Low acute; higher chronic |
| Rift Valley fever | 2–6 days | Fever, weakness | Hemorrhagic/ocular disease | Supportive | Usually low |
| Tularemia | 3–5 days | Ulceroglandular lesions, fever | Pneumonia, systemic illness | Streptomycin/gentamicin | Variable |
