# Adjacent Constellations (IAU) — Border Neighbors for Selected Northern Sky Constellations

| Constellation | Neighbor 1 | Neighbor 2 | Neighbor 3 | Neighbor 4 | Neighbor 5 | Neighbor 6 |
|---|---|---|---|---|---|---|
| Ursa Minor | Draco | Camelopardalis | Cepheus | Ursa Major |  |  |
| Ursa Major | Draco | Lynx | Leo Minor | Canes Venatici | Boötes | Ursa Minor |
| Draco | Ursa Minor | Ursa Major | Camelopardalis | Cepheus | Cygnus | Lyra |
| Cassiopeia | Cepheus | Camelopardalis | Perseus | Andromeda | Lacerta |  |
| Cepheus | Cassiopeia | Camelopardalis | Ursa Minor | Draco | Cygnus | Lacerta |
| Cygnus | Lyra | Vulpecula | Pegasus | Lacerta | Cepheus | Draco |
| Lyra | Cygnus | Hercules | Vulpecula | Draco |  |  |
| Hercules | Lyra | Boötes | Corona Borealis | Serpens | Ophiuchus | Aquila |
| Andromeda | Pegasus | Perseus | Cassiopeia | Triangulum | Pisces | Lacerta |
| Pegasus | Andromeda | Pisces | Aquarius | Equuleus | Cygnus | Vulpecula |
