# Lobbying Expenditures — Enterprise Software Firms (Selected Year)

| Company | Year | Total Reported by Filer (USD) | Top Firm Hired | Reported Contract Expenses (USD) | Notes |
| --- | ---:| ---:| --- | ---:| --- |
| Oracle | 2019 | 1,980,000 | Firm A Strategies | 620,000 | Federal lobbying disclosure totals |
| SAP | 2019 | 1,250,000 | Capitol Policy Group | 410,000 | Includes multiple quarterly filings |
| Microsoft | 2019 | 9,560,000 | Evergreen Gov Affairs | 3,100,000 | Broad policy portfolio |
| IBM | 2019 | 2,870,000 | Hamilton & Partners | 950,000 | Includes tech policy topics |
| Salesforce | 2019 | 520,000 | K Street Advisors | 180,000 | Cloud policy focus |
| Workday | 2019 | 310,000 | Public Affairs LLC | 120,000 | Employment/HR policy |
| Cisco | 2019 | 2,400,000 | FIB Group | 1,050,000 | Telecom/security legislation |
| Adobe | 2019 | 430,000 | Livingston Group | 220,000 | Digital content policy |
| Infor | 2019 | 85,000 | Regional Advocacy Inc. | 40,000 | Limited footprint |
