# County Areas in the British Isles (Ireland and other countries mixed)

| County | Country/Region | Area (km²) | Equivalent Area (sq mi) | Note |
|---|---|---:|---:|---|
| Cork | Ireland | 7,462 | 2,881 | Irish county |
| Galway | Ireland | 6,149 | 2,374 | Irish county |
| Mayo | Ireland | 5,586 | 2,157 | Irish county |
| Kent | England | 3,736 | 1,442 | UK county |
| Lancashire | England | 3,079 | 1,189 | UK county |
| Glamorgan | Wales | 2,100 | 811 | Historic county |
| Fife | Scotland | 1,325 | 512 | Council area/county-like |
| Antrim | Northern Ireland (UK) | 3,046 | 1,176 | NI county |
| Down | Northern Ireland (UK) | 2,466 | 952 | NI county |
