# Official Currencies by Country (Selected Americas and Europe)

| Region > Subregion | Country | Official currency | ISO code | Symbol | Minor unit (subdivision) |
| --- | --- | --- | --- | --- | --- |
| Americas > North America | Canada | Canadian dollar | CAD | $ / C$ | 1 dollar = 100 cents |
| Americas > North America | Mexico | Mexican peso | MXN | $ | 1 peso = 100 centavos |
| Americas > North America | United States | United States dollar | USD | $ | 1 dollar = 100 cents |
| Americas > Central America | Costa Rica | Costa Rican colón | CRC | ₡ | 1 colón = 100 céntimos |
| Americas > Central America | Panama | Panamanian balboa (and USD in circulation) | PAB | B/. | 1 balboa = 100 centésimos |
| Americas > Caribbean | Jamaica | Jamaican dollar | JMD | J$ | 1 dollar = 100 cents |
| Europe > Western Europe | United Kingdom | Pound sterling | GBP | £ | 1 pound = 100 pence |
| Europe > Western Europe | Switzerland | Swiss franc | CHF | Fr. | 1 franc = 100 rappen/centimes |
| Europe > Northern Europe | Norway | Norwegian krone | NOK | kr | 1 krone = 100 øre |
| Europe > Eastern Europe | Poland | Polish złoty | PLN | zł | 1 złoty = 100 groszy |
