# Journal Rankings on Nursing

|   | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17 | 18 | 19 | 20 | 21 | 22 | 23 | 24 | 25 | 26 | 27 | 28 | 29 | 30 | 31 | 32 | 33 | 34 | 35 | 36 | 37 | 38 | 39 | 40 | 41 | 42 | 43 | 44 | 45 | 46 | 47 | 48 | 49 | 50 |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Title | Diabetes Care | Annual Review of Nutrition | Stroke | American Journal of Clinical Nutrition | International Journal of Behavioral Nutrition and Physical Activity | Current Opinion in Lipidology | International Journal of Obesity | Obesity | Nutrition Research Reviews | Journal of Substance Abuse Treatment | Journal of Nutrition | World Psychiatry | Obesity Surgery | Current Opinion in HIV and AIDS | Resuscitation | Nutrition Reviews | Journals of Gerontology - Series B Psychological Sciences and Social Sciences | Journal of Fluency Disorders | Current Opinion in Clinical Nutrition and Metabolic Care | Joint Commission Journal on Quality and Patient Safety | Gerontologist, The | International Journal of Nursing Education Scholarship | Journal of the Academy of Nutrition and Dietetics | Journal of Cancer Survivorship | Forum of Nutrition | Current Opinion in Endocrinology, Diabetes and Obesity | Nutrition, Metabolism and Cardiovascular Diseases | Alzheimer Disease and Associated Disorders | Pediatric obesity | Clinical Nutrition | British Journal of Nutrition | Journal of Nutritional Biochemistry | Journal of Pain and Symptom Management | Prehospital Emergency Care | European Journal of Clinical Nutrition | Journal of Nursing Administration | Food and Nutrition Bulletin | Journal of the American College of Nutrition | Appetite | Journal of Voice | International Journal of Nursing Studies | International Journal of Sport Nutrition and Exercise Metabolism | Maternal and Child Nutrition | European Journal of Nutrition | Public Health Nutrition | Journal of Advanced Nursing | Food Quality and Preference | Informatics in Primary Care | Nutrition and Metabolism | Nutrition |
| Type | j | k | j | j | j | j | j | j | j | j | j | j | j | j | j | j | j | j | j | j | j | j | j | j | j | j | j | j | j | j | j | j | j | j | j | j | j | j | j | j | j | j | j | j | j | j | j | j | j | j |
| SJR | 3,828 | 3,557 | 2,965 | 2,910 | 2,132 | 2,112 | 2,091 | 1,836 | 1,725 | 1,716 | 1,551 | 1,526 | 1,520 | 1,516 | 1,460 | 1,418 | 1,304 | 1,261 | 1,257 | 1,238 | 1,229 | 1,226 | 1,214 | 1,210 | 1,203 | 1,151 | 1,137 | 1,132 | 1,128 | 1,113 | 1,089 | 1,089 | 1,088 | 1,062 | 1,036 | 1,020 | 0,996 | 0,991 | 0,959 | 0,954 | 0,952 | 0,951 | 0,948 | 0,944 | 0,919 | 0,916 | 0,915 | 0,915 | 0,914 | 0,909 |
| H index | 266 | 120 | 240 | 244 | 56 | 100 | 163 | 141 | 54 | 77 | 187 | 36 | 103 | 36 | 95 | 100 | 104 | 34 | 75 | 56 | 92 | 19 | 117 | 30 | 22 | 41 | 58 | 72 | 39 | 84 | 127 | 95 | 104 | 42 | 113 | 60 | 45 | 92 | 80 | 56 | 58 | 49 | 28 | 68 | 95 | 106 | 70 | 24 | 43 | 102 |
| Total Docs. (2011) | 686 | 17 | 861 | 524 | 143 | 97 | 229 | 380 | 19 | 100 | 343 | 63 | 289 | 95 | 401 | 81 | 102 | 43 | 107 | 72 | 96 | 28 | 277 | 46 | 0 | 73 | 143 | 55 | 167 | 143 | 509 | 147 | 218 | 93 | 216 | 111 | 65 | 63 | 227 | 151 | 176 | 55 | 78 | 76 | 263 | 270 | 94 | 53 | 93 | 208 |
| Total Docs. (3years) | 1.940 | 63 | 2.332 | 1.632 | 254 | 316 | 811 | 1.256 | 60 | 321 | 1.161 | 164 | 880 | 285 | 1.094 | 321 | 286 | 68 | 350 | 271 | 263 | 133 | 964 | 104 | 40 | 256 | 352 | 204 | 204 | 387 | 1.411 | 372 | 634 | 255 | 720 | 322 | 221 | 235 | 584 | 290 | 562 | 153 | 107 | 219 | 945 | 892 | 298 | 100 | 175 | 540 |
| Total Refs. | 15.358 | 2.023 | 33.284 | 18.159 | 6.374 | 3.375 | 9.135 | 12.344 | 2.435 | 4.250 | 14.332 | 1.997 | 8.101 | 4.898 | 8.109 | 6.102 | 3.696 | 1.600 | 4.700 | 1.990 | 3.434 | 1.070 | 6.746 | 1.732 | 0 | 3.249 | 5.303 | 1.957 | 5.828 | 4.819 | 19.686 | 7.759 | 6.973 | 1.698 | 6.668 | 1.880 | 2.072 | 2.559 | 9.682 | 4.273 | 7.353 | 1.943 | 3.060 | 3.193 | 8.666 | 10.818 | 3.710 | 1.214 | 4.378 | 7.551 |
| Total Cites (3years) | 14.877 | 683 | 13.114 | 11.286 | 1.334 | 1.254 | 4.536 | 6.121 | 347 | 1.184 | 5.588 | 491 | 3.043 | 1.010 | 2.981 | 1.644 | 909 | 223 | 1.620 | 625 | 798 | 250 | 2.604 | 349 | 191 | 852 | 1.214 | 643 | 700 | 1.765 | 4.852 | 1.622 | 1.798 | 454 | 2.186 | 530 | 516 | 757 | 1.849 | 546 | 1.393 | 333 | 242 | 758 | 1.935 | 1.997 | 653 | 188 | 599 | 1.753 |
| Citable Docs. (3years) | 1.537 | 63 | 1.822 | 1.325 | 249 | 195 | 729 | 1.158 | 52 | 308 | 1.099 | 74 | 790 | 252 | 777 | 289 | 271 | 58 | 314 | 234 | 250 | 132 | 790 | 104 | 37 | 222 | 299 | 188 | 196 | 342 | 1.296 | 369 | 502 | 250 | 671 | 303 | 199 | 223 | 579 | 285 | 500 | 141 | 99 | 203 | 782 | 788 | 283 | 77 | 170 | 496 |
| Cites / Doc. (2years) | 9,92 | 10,64 | 6,72 | 7,98 | 4,27 | 6,52 | 5,01 | 4,82 | 5,87 | 3,55 | 4,65 | 7,19 | 3,78 | 5,01 | 4,23 | 5,50 | 3,18 | 4,08 | 5,26 | 2,43 | 2,76 | 1,39 | 3,23 | 2,96 | 5,16 | 4,03 | 3,81 | 3,29 | 3,12 | 4,78 | 3,45 | 4,17 | 3,23 | 1,80 | 3,11 | 1,37 | 2,21 | 3,07 | 2,94 | 1,63 | 2,58 | 2,31 | 1,71 | 3,01 | 2,33 | 1,98 | 2,07 | 2,23 | 3,32 | 3,48 |
| Ref. / Doc. | 22,39 | 119,00 | 38,66 | 34,65 | 44,57 | 34,79 | 39,89 | 32,48 | 128,16 | 42,50 | 41,78 | 31,70 | 28,03 | 51,56 | 20,22 | 75,33 | 36,24 | 37,21 | 43,93 | 27,64 | 35,77 | 38,21 | 24,35 | 37,65 | 0,00 | 44,51 | 37,08 | 35,58 | 34,90 | 33,70 | 38,68 | 52,78 | 31,99 | 18,26 | 30,87 | 16,94 | 31,88 | 40,62 | 42,65 | 28,30 | 41,78 | 35,33 | 39,23 | 42,01 | 32,95 | 40,07 | 39,47 | 22,91 | 47,08 | 36,30 |
| Country |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
