# Complete Nutrient Analysis of Premium Dry Dog Food (Adult Maintenance Formula)

| Nutrient (as-fed) | Unit | Chicken & Brown Rice | Salmon & Sweet Potato | Lamb & Barley |
|---|---:|---:|---:|---:|
| Calories | kcal/cup | 360 | 372 | 355 |
| Crude Protein | % | 26 | 24 | 25 |
| Crude Fat | % | 15 | 16 | 14 |
| Crude Fiber | % | 4 | 4.5 | 4 |
| Moisture | % | 10 | 10 | 10 |
| Calcium | % | 1.2 | 1.3 | 1.1 |
| Phosphorus | % | 1.0 | 1.1 | 0.9 |
| Sodium | % | 0.35 | 0.40 | 0.32 |
| Omega-6 Fatty Acids | % | 3.0 | 2.8 | 2.6 |
| Omega-3 Fatty Acids | % | 0.4 | 0.7 | 0.5 |
| Taurine | mg/kg | 1200 | 1500 | 1100 |
| Vitamin A | IU/kg | 15000 | 14000 | 15500 |
| Vitamin D3 | IU/kg | 1200 | 1100 | 1250 |
| Vitamin E | IU/kg | 180 | 200 | 175 |
| Zinc | mg/kg | 150 | 160 | 155 |
