# Hungary Counties

| County | Bács-Kiskun | Baranya | Békés | Borsod-Abaúj-Zemplén | Budapest | Csongrád | Fejér | Győr-Moson-Sopron | Hajdú-Bihar | Heves | Jász-Nagykun-Szolnok | Komárom-Esztergom | Nógrád | Pest | Somogy | Szabolcs-Szatmár-Bereg | Tolna | Vas | Veszprém | Zala | Totals |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 1870 | 324,625 | 265,069 | 284,589 | 382,264 | 302,086 | 269,803 | 205,320 | 258,345 | 281,350 | 205,146 | 276,760 | 115,684 | 125,522 | 330,089 | 254,060 | 299,441 | 224,918 | 179,738 | 234,342 | 192,159 | 5,011,310 |
| 1880 | 346,863 | 273,615 | 310,266 | 373,830 | 402,706 | 286,636 | 218,719 | 274,686 | 289,311 | 203,338 | 298,655 | 124,203 | 123,261 | 353,851 | 272,620 | 288,327 | 239,231 | 198,533 | 241,517 | 209,023 | 5,329,191 |
| 1890 | 393,205 | 299,901 | 356,665 | 408,174 | 560,079 | 327,273 | 231,548 | 289,308 | 322,286 | 227,156 | 341,335 | 132,589 | 141,314 | 395,142 | 290,063 | 329,131 | 257,380 | 216,087 | 253,729 | 236,986 | 6,009,351 |
| 1900 | 435,363 | 313,174 | 389,095 | 469,681 | 861,434 | 363,821 | 245,510 | 315,431 | 364,908 | 249,354 | 375,134 | 151,155 | 159,266 | 450,136 | 306,337 | 384,060 | 258,748 | 240,362 | 260,173 | 261,273 | 6,854,415 |
| 1910 | 485,919 | 328,902 | 417,127 | 513,193 | 1,110,453 | 395,361 | 259,558 | 330,643 | 406,290 | 275,181 | 399,153 | 167,310 | 174,155 | 524,320 | 327,115 | 418,482 | 273,218 | 260,427 | 269,694 | 275,613 | 7,612,114 |
| 1920 | 500,638 | 313,469 | 436,348 | 535,588 | 1,232,026 | 407,831 | 271,682 | 350,040 | 426,465 | 292,290 | 413,593 | 179,565 | 185,217 | 571,753 | 331,993 | 435,119 | 268,954 | 275,537 | 271,936 | 286,831 | 7,986,875 |
| 1930 | 544,201 | 337,698 | 465,557 | 585,154 | 1,442,869 | 426,374 | 280,707 | 366,608 | 467,257 | 312,085 | 440,808 | 192,253 | 200,438 | 633,257 | 347,942 | 502,136 | 272,641 | 281,848 | 283,927 | 301,349 | 8,685,109 |
| 1941 | 575,215 | 353,426 | 477,240 | 633,105 | 1,712,791 | 434,749 | 295,683 | 383,764 | 496,009 | 319,043 | 453,038 | 212,928 | 211,253 | 682,696 | 354,125 | 546,639 | 276,569 | 286,381 | 306,693 | 304,727 | 9,316,074 |
| 1949-01-01 | 591,482 | 356,533 | 471,561 | 630,621 | 1,590,316 | 429,083 | 295,750 | 369,336 | 498,271 | 316,273 | 449,551 | 220,914 | 214,757 | 686,953 | 361,213 | 558,098 | 275,644 | 283,070 | 299,940 | 305,433 | 9,204,799 |
| 1960-01-01 | 589,744 | 395,342 | 467,861 | 725,303 | 1,804,606 | 434,046 | 357,897 | 396,401 | 522,787 | 347,856 | 461,307 | 270,810 | 235,675 | 781,505 | 368,183 | 586,451 | 272,101 | 282,728 | 343,296 | 317,145 | 9,961,044 |
| 1970-01-01 | 570,064 | 421,765 | 438,971 | 776,750 | 2,001,083 | 445,220 | 391,272 | 409,609 | 524,952 | 340,146 | 437,879 | 304,461 | 234,430 | 878,644 | 357,009 | 565,557 | 258,760 | 277,619 | 362,678 | 304,127 | 10,300,996 |
| 1980-01-01 | 571,448 | 432,617 | 436,910 | 809,468 | 2,059,226 | 456,300 | 420,317 | 433,551 | 551,448 | 350,360 | 445,624 | 322,893 | 240,251 | 973,830 | 360,270 | 593,829 | 266,273 | 285,498 | 382,052 | 317,298 | 10,709,463 |
| 1990-01-01 | 546,898 | 417,400 | 411,887 | 761,963 | 2,016,681 | 438,842 | 418,852 | 428,153 | 548,728 | 334,408 | 425,583 | 316,984 | 227,137 | 949,842 | 344,708 | 572,301 | 253,675 | 275,944 | 378,439 | 306,398 | 10,374,823 |
| 2001-02-01 | 546,517 | 407,448 | 397,791 | 744,404 | 1,777,921 | 433,344 | 434,317 | 434,706 | 552,998 | 325,727 | 415,917 | 316,590 | 220,261 | 1,083,877 | 335,237 | 582,256 | 249,683 | 268,123 | 373,794 | 297,404 | 10,198,315 |
| 2011-10-01 | 520,331 | 386,441 | 359,948 | 686,266 | 1,729,040 | 417,456 | 425,847 | 447,985 | 546,721 | 308,882 | 386,594 | 304,568 | 202,427 | 1,217,476 | 316,137 | 559,272 | 230,361 | 256,629 | 353,068 | 282,179 | 9,937,628 |
