# Roberto Soriano - Profile and Statistics - SoccerPunter.com

| Competition | Friendlies | EC Qualification | Serie A | Coppa Italia | Serie A | Serie A | Coppa Italia | Serie B | Serie B | Coppa Italia | UEFA U19 Championship | UEFA U21 Championship |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Season | 2015 | 2016 France | 2014/2015 | 2014/2015 | 2013/2014 | 2012/2013 | 2012/2013 | 2011/2012 | 2010/2011 | 2010/2011 | 2009/2010 | 2011 Denmark |
| Football Club | Italy | Italy | Sampdoria | Sampdoria | Sampdoria | Sampdoria | Sampdoria | Sampdoria | Empoli | Empoli | Italy U19 | Italy U21 |
|  | 148 | 80 | 2531 | 136 | 1933 | 984 | 33 | 958 | 1539 | 120 | 465 | 162 |
|  | 2 | 2 | 33 | 2 | 29 | 24 | 1 | 16 | 27 | 1 | 6 | 3 |
|  | 0 | 2 | 4 | 0 | 8 | 16 | 1 | 6 | 11 | 1 | 1 | 2 |
|  | 1 | 0 | 9 | 1 | 6 | 4 | 0 | 2 | 5 | 0 | 0 | 3 |
|  | 0 | 3 | 7 | 0 | 14 | 28 | 1 | 17 | 18 | 1 | 1 | 2 |
|  | 0 | 0 | 4 | 0 | 5 | 0 | 0 | 1 | 2 | 0 | 0 | 1 |
|  | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
|  | 1 | 1 | 11 | 0 | 5 | 4 | 0 | 2 | 6 | 0 | 1 | 1 |
|  | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 2 | 0 | 0 | 0 |
