# Asia Currency Reference with ISO Codes and Exchange Rate Notes (Selected Countries)

| Country (Asia) | Currency | ISO 4217 Code | Example Rate vs USD* | Notes |
|---|---|---|---:|---|
| Japan | Japanese yen | JPY | 145.20 | Free-float; intervention history mentioned |
| China | Renminbi (yuan) | CNY | 7.18 | Managed float; onshore/offshore distinction |
| India | Indian rupee | INR | 83.10 | Inflation targeting and RBI policy note |
| South Korea | South Korean won | KRW | 1320.00 | High FX liquidity; rate volatility note |
| Singapore | Singapore dollar | SGD | 1.35 | MAS uses exchange-rate band |
| Thailand | Thai baht | THB | 35.70 | Tourism-sensitive currency |
| Vietnam | Vietnamese dong | VND | 24500 | Crawling-peg style note |
| United Arab Emirates | UAE dirham | AED | 3.6725 | Pegged to USD |
| Saudi Arabia | Saudi riyal | SAR | 3.75 | Long-standing USD peg |
| Turkey | Turkish lira | TRY | 30.10 | Recent redenomination history mentioned |

*Illustrative rates only.
