# Sun  Key Physical Properties and Spectral Classification

| Property | Value | Units | Notes |
|---|---:|---|---|
| Spectral type | G2V | — | Main-sequence dwarf |
| Effective temperature | 5772 | K | Photospheric Teff |
| Mass | 1.000 | M☉ | Definition of solar mass |
| Radius | 1.000 | R☉ | Definition of solar radius |
| Luminosity | 1.000 | L☉ | Definition of solar luminosity |
| Surface gravity | 274 | m/s² | At photosphere |
| Escape velocity | 617.6 | km/s | From photosphere |
| Age | 4.57 | Gyr | Approximate |
| Rotation period (equator) | 25.05 | days | Differential rotation |
| Mean density | 1.41 | g/cm³ | Average |
| Core temperature | 15.7 | MK | Model-dependent |
