# Differential Diagnosis Cheat Sheet for Febrile Illness  Symptoms, Labs, and Clues

| Condition | Key symptoms | Distinguishing clinical clues | Typical lab pattern | Confirmatory test | Notes |
| --- | --- | --- | --- | --- | --- |
| Malaria | Fever with chills, headache | Periodic fevers; travel history | Anemia, thrombocytopenia | Thick/thin smear or rapid antigen | Species affects severity |
| Dengue | Fever, rash, myalgia | Retro-orbital pain; bleeding tendency | Thrombocytopenia, leukopenia | NS1/IgM | Risk of shock in severe cases |
| Typhoid fever | Persistent fever, abdominal pain | Relative bradycardia | Mild transaminitis | Blood culture | May have rose spots |
| Influenza | Fever, cough, myalgia | Abrupt onset | Leukopenia possible | PCR | Seasonal peaks |
| Leptospirosis | Fever, myalgia | Conjunctival suffusion | Elevated creatinine/bilirubin | MAT/IgM | Can mimic viral illness |
| Viral hepatitis A | Malaise, jaundice | Dark urine, pruritus | Very high ALT/AST | Anti-HAV IgM | Often self-limited |
| Bacterial meningitis | Fever, neck stiffness | Altered mental status | High WBC, high CRP | CSF culture/PCR | Medical emergency |
| COVID-19 | Fever, cough, dyspnea | Anosmia in some; exposure clusters | Lymphopenia, elevated CRP | NAAT | Variable severity |
| Legionnaires' disease | Fever, cough, diarrhea | Hyponatremia; pneumonia | Elevated CRP; hyponatremia | Urinary antigen | Often severe in older adults |
| Sepsis (non-specific) | Fever or hypothermia | Hypotension, tachycardia | High lactate, high procalcitonin | Blood cultures | Source control required |
