# Government Program Interest Rates  Subsidized Loans and Savings Schemes (Selected Countries)

| Country | Program Name | Administrator | Eligible Group | Rate Type | Headline Rate | Cap/Limit | Application Window |
|---|---|---|---|---|---:|---|---|
| United States | SAVE Plan | U.S. Dept. of Education | Student borrowers | Formula-based | 5.50% | Income-based | Rolling |
| United Kingdom | Help to Save | HM Government | Low-income savers | Bonus-linked | 0.00% | £50/month | Open |
| India | Sukanya Samriddhi Yojana | Govt. of India | Girl child | Fixed (rev.) | 8.20% | Annual limit | Ongoing |
| Japan | Flat 35 | Japan Housing Finance Agency | Homebuyers | Fixed mortgage | 1.80% | Loan size limit | Ongoing |
| Brazil | Minha Casa Minha Vida | Federal Government | Low-income housing | Subsidized | 6.00% | Region/income tiers | Periodic |
| South Africa | NSFAS Funding | Government/NSFAS | Students | Loan-linked | 0.00% | Means-tested | Annual |
| Canada | Canada Student Loans | Government of Canada | Students | Variable | 0.00% | Federal portion | Ongoing |
| Mexico | Infonavit Mortgage | Infonavit | Formal workers | Tiered | 3.00% | Salary-based | Ongoing |
| Australia | First Home Guarantee | Australian Government | First home buyers | Guarantee-linked | 5.90% | LVR cap | Limited |
| Germany | KfW Home Ownership Program | KfW | Homebuyers | Promo loan | 3.25% | Amount cap | Ongoing |
| France | Prêt à Taux Zéro (PTZ) | French State | First-time buyers | Zero-rate | 0.00% | Zone/income caps | Periodic |
