# ABO Blood Type Diet  Food Types by Blood Group (Uses Only A B AB O Headings)

| Food Type | Type A | Type B | Type AB | Type O |
|---|---|---|---|---|
| Vegetables | Beneficial | Neutral | Beneficial | Avoid |
| Fruits | Neutral | Beneficial | Neutral | Beneficial |
| Grains | Avoid | Neutral | Neutral | Avoid |
| Dairy | Avoid | Beneficial | Neutral | Neutral |
| Legumes | Beneficial | Avoid | Neutral | Neutral |
| Meats | Avoid | Neutral | Neutral | Beneficial |
| Seafood | Neutral | Neutral | Beneficial | Beneficial |
| Oils & Fats | Neutral | Neutral | Neutral | Neutral |
| Nuts & Seeds | Beneficial | Avoid | Neutral | Neutral |
| Spices | Neutral | Neutral | Neutral | Neutral |
