# June 14, 2007 Seattle Mariners at Chicago Cubs Box Score and Play by Play | Baseball-Reference.com

| Batting | Ichiro Suzuki CF | Jose Lopez 2B | Jose Guillen RF | Raul Ibanez LF | Richie Sexson 1B | Sean Green P | Yuniesky Betancourt SS | Willie Bloomquist 3B | Jamie Burke C | Kenji Johjima PH | Jeff Weaver P | Jason Ellison PH | George Sherrill P | Brandon Morrow P | Ben Broussard 1B | Team Totals |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| AB | 3 | 3 | 2 | 4 | 4 | 0 | 4 | 4 | 3 | 1 | 0 | 1 | 0 | 0 | 0 | 29 |
| R | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 4 |
| H | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 3 |
| RBI | 0 | 0 | 0 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 3 |
| BB | 1 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 3 |
| SO | 0 | 1 | 1 | 0 | 1 | 0 | 2 | 3 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 10 |
| PA | 4 | 4 | 4 | 4 | 4 | 0 | 4 | 4 | 3 | 1 | 2 | 1 | 0 | 0 | 0 | 35 |
| BA | .340 | .286 | .265 | .289 | .196 |  | .297 | .239 | .415 | .328 | .000 | .160 |  |  | .265 | .103 |
| OBP | .396 | .328 | .339 | .339 | .289 |  | .319 | .292 | .478 | .353 | .500 | .192 |  |  | .329 | .212 |
| SLG | .455 | .424 | .425 | .434 | .393 |  | .414 | .269 | .537 | .516 | .000 | .160 |  |  | .426 | .172 |
| OPS | .851 | .752 | .763 | .773 | .682 |  | .733 | .560 | 1.015 | .869 | .500 | .352 |  |  | .755 | .385 |
| Pit | 10 | 15 | 17 | 19 | 12 |  | 13 | 16 | 9 | 1 | 7 | 3 |  |  |  | 122 |
| Str | 4 | 10 | 6 | 12 | 7 |  | 9 | 11 | 7 | 1 | 4 | 3 |  |  |  | 74 |
| WPA | 0.024 | 0.103 | 0.012 | 0.222 | -0.127 | 0.000 | -0.143 | -0.116 | -0.009 | -0.040 | -0.002 | -0.014 | 0.000 | 0.000 | 0.000 | -0.090 |
| aLI | 1.05 | 1.30 | 1.17 | 1.75 | 1.18 | 0.00 | 1.32 | 1.12 | 0.78 | 1.49 | 0.90 | 0.54 | 0.00 | 0.00 | 0.00 | 1.19 |
| WPA+ | 0.078 | 0.158 | 0.039 | 0.299 | 0.000 | 0.000 | 0.000 | 0.000 | 0.036 | 0.000 | 0.028 | 0.000 | 0.000 | 0.000 | 0.000 | 0.638 |
| WPA- | -0.054 | -0.054 | -0.027 | -0.077 | -0.127 | 0.000 | -0.143 | -0.116 | -0.045 | -0.040 | -0.030 | -0.014 | 0.000 | 0.000 | 0.000 | -0.727 |
| RE24 | 0.1 | 0.8 | 0.1 | 1.2 | -1.3 | 0.0 | -0.9 | -0.8 | -0.0 | -0.1 | -0.1 | -0.1 | 0.0 | 0.0 | 0.0 | -1.0 |
| PO | 4 | 3 | 1 | 4 | 5 | 0 | 1 | 1 | 4 |  | 0 |  | 0 | 0 | 1 | 24 |
| A | 0 | 3 | 0 | 0 | 0 | 0 | 2 | 3 | 0 |  | 1 |  | 0 | 0 | 0 | 9 |
|  |  | SH |  | 2B |  |  |  |  | 2B |  | HBP,SH |  |  |  |  |  |
