# Diagnostic Workup for Suspected Infections (Testing-Centered Rather Than Treatment)

| Suspected condition | First-line test(s) | Specimen | Typical turnaround time | What the result suggests | Common next step |
|---|---|---|---|---|---|
| Acute cystitis | Urinalysis ± urine culture | Midstream urine | Minutes–48 h | Pyuria/nitrites; culture confirms organism | Consider targeted therapy after culture |
| Community-acquired pneumonia | Chest X-ray; optional sputum culture | Sputum/blood | Hours–days | Infiltrate; pathogen sometimes identified | Reassess diagnosis/severity |
| Streptococcal pharyngitis | Rapid antigen test ± throat culture | Throat swab | Minutes–48 h | GAS detected or excluded | Treat if confirmed/high risk |
| Influenza-like illness | Rapid influenza NAAT/antigen | Nasal swab | Minutes–hours | Influenza A/B detection | Antivirals in selected cases |
| Suspected bacterial meningitis | Lumbar puncture with CSF studies | CSF | Hours | Cell count/Gram stain/culture | Start empiric therapy early |
| Skin/soft tissue abscess | Bedside ultrasound if needed; culture pus | Pus | Minutes–days | Abscess vs cellulitis; organism ID | Drainage; tailor if severe |
| Suspected C. difficile infection | Stool toxin/NAAT | Stool | Hours | Toxin gene/toxin detected | Stop culprit antibiotics; treat if symptomatic |
| Sexually transmitted infection | NAAT for GC/CT | Urine/cervical swab | 1–2 days | GC/CT detected | Treat and notify partners |
| Suspected osteomyelitis | MRI; ESR/CRP; bone culture | Blood/bone | Days | Imaging + inflammation | Definitive culture before long therapy |
| Febrile neutropenia | Blood cultures (2 sets) | Blood | 24–72 h | Bacteremia vs negative | Escalate/de-escalate per results |
