# Lunar Phase Cycle with Calendar and Astrology Associations (Based on Synodic Month)

| Phase segment | Approx. day in synodic month | Common calendar label | Traditional/astrology association | Observational note |
|---|---:|---|---|---|
| New Moon | 0.0 | Lunation start | Beginnings/intentions | Minimal illumination |
| Waxing Crescent | 2.0 | Early month | Growth | Evening sky after sunset |
| First Quarter | 7.4 | Mid-first half | Decisions/action | Half-illuminated |
| Waxing Gibbous | 11.0 | Approaching full | Refinement | Bright evenings |
| Full Moon | 14.8 | Mid-month | Culmination | All-night visibility |
| Waning Gibbous | 18.0 | After full | Release | Late-night rising |
| Last Quarter | 22.1 | Mid-second half | Reassessment | Morning half-illuminated |
| Waning Crescent | 26.0 | Month end | Closure | Pre-dawn sky |
| Mean synodic month length | 29.53 | Lunar month | Used in lunar calendars | Phase-repeat interval |
