# Orbital and Rotational Periods of Major Moons (Sidereal Focus, not phase-repeat cycle)

| Moon | Primary planet | Sidereal orbital period (days) | Rotation period (days) | Synchronous? | Notable resonance |
|---|---|---:|---:|---|---|
| Earth's Moon | Earth | 27.3217 | 27.3217 | Yes | 1:1 spin-orbit |
| Phobos | Mars | 0.3189 | 0.3189 | Yes | Decaying orbit |
| Deimos | Mars | 1.2624 | 1.2624 | Yes | Farther, slower |
| Io | Jupiter | 1.7691 | 1.7691 | Yes | Laplace resonance |
| Europa | Jupiter | 3.5512 | 3.5512 | Yes | Laplace resonance |
| Ganymede | Jupiter | 7.1546 | 7.1546 | Yes | Laplace resonance |
| Callisto | Jupiter | 16.689 | 16.689 | Yes | Weak resonance |
| Titan | Saturn | 15.945 | 15.945 | Yes | Dense atmosphere |
| Triton | Neptune | 5.8769 | 5.8769 | Yes | Retrograde orbit |
